ID,CASRN,Name,ChemSpiderID,MolecularFormula,VerticeSet,EdgeSet,NumHydrogenSet,amine,nitrile,imine,sulfide,thiol,halide_F,halide_Cl,halide_Br,halide_I,phosphate,alcohol,carboxylic_acid,acid_halide_F,acid_halide_Cl,acid_halide_Br,ester,anhydride,imide_0,imide_1,amide_0,amide_1,amide_2,isocyanate,aldehyde,ketone,benzene
1,50-00-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,50-14-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,50-21-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,50-23-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50-24-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,50-29-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,50-30-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,50-31-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,50-32-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,50-33-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,50-43-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,50-45-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,50-69-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,50-70-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,50-71-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,50-73-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,50-78-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,50-79-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,50-81-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,50-82-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,50-84-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,50-89-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,50-98-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,50-99-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,51-17-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,51-20-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,51-21-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,51-35-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,51-36-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,51-39-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,51-43-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,51-44-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,51-45-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,51-48-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,51-52-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,51-55-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,51-64-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,51-65-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,51-66-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,51-75-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,51-77-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,51-79-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,51-80-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,51-82-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,52-39-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,52-52-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,52-85-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,52-89-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,52-90-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,53-16-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,53-57-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53-60-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53-70-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,53-86-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,53-96-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,54-28-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,54-42-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,54-47-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,54-62-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,54-71-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,54-85-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,54-95-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,55-18-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,55-21-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,55-22-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,55-56-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,55-57-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,55-80-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,55-81-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,55-91-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,75-62-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,594-22-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,75-71-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,34970-00-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,56-10-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,75-69-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,56-17-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,56-18-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,56-23-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,56-25-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,56-33-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,56-35-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,56-40-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,56-41-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,56-45-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,56-49-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,56-53-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,56-54-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,56-55-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,56-65-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,56-69-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,56-73-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,56-81-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,56-82-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,56-84-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,56-85-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,56-86-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,56-87-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,56-89-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,56-92-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,56-93-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,57-00-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,57-09-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,57-13-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,57-14-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,57-15-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,57-24-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,57-37-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,57-39-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,57-40-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,57-47-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,57-48-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,57-50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,57-53-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
