molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
193,171,4,0.758541,0.727662,0.0,0.0,1,1.0
1734,13872989,4,0.769439,0.694017,1.2909944487358056,1.2909944487358056,4,1.0
2381,7957,4,0.793656,0.655889,1.699673171197595,1.699673171197595,2,1.0
1733,7569,4,0.734233,0.460549,1.1055415967851334,1.1055415967851334,1,1.0
258,1004,4,0.786284,0.642819,1.3333333333333335,1.3333333333333335,1,1.0
1718,7556,4,0.869945,0.255253,1.632993161855452,1.632993161855452,1,1.0
3019,13835336,4,0.808652,0.264717,1.3333333333333335,1.3333333333333335,1,1.0
1741,7577,4,0.782724,0.710945,0.4714045207910317,0.4714045207910317,1,1.0
3169,553742,4,0.761633,0.551725,1.5275252316519465,1.5275252316519465,3,1.3333333333333333
1723,13854130,4,0.765782,0.619574,1.632993161855452,1.632993161855452,2,1.0
1727,31029,4,0.815677,0.678302,1.632993161855452,1.632993161855452,1,1.0
68,730,5,0.699508,0.425557,0.0,0.0,1,1.0
198,5050,5,0.68329,0.352504,0.0,0.0,1,1.0
470,737,5,0.747491,0.445194,0.0,0.0,1,1.0
2784,29104,5,0.609541,0.391493,0.0,0.0,1,1.0
3100,10205670,5,0.700881,0.581446,0.0,0.0,1,1.0
3217,740,5,0.708744,0.312856,0.0,0.0,1,1.0
3218,55053,5,0.805337,0.774138,0.0,0.0,2,1.0
333,6152,5,0.708609,0.692354,1.4907119849998598,1.4907119849998598,12,1.0
461,6320,5,0.696328,0.24456,1.2018504251546631,1.2018504251546631,1,1.0
338,6158,5,0.714001,0.577125,1.5563490039905001,1.5563490039905001,2,1.0
3373,9284,5,0.701852,0.59939,1.4907119849998598,1.4907119849998598,7,1.0
2750,60514,5,0.712261,0.556859,1.4907119849998598,1.4907119849998598,2,1.0
330,6148,5,0.789202,0.773325,1.4907119849998598,1.4907119849998598,6,1.0
457,6316,5,0.739551,0.274289,1.5275252316519468,1.5275252316519468,1,1.0
3167,8729,5,0.850467,0.262642,1.4063348739819324,1.4063348739819324,2,1.0
468,6326,5,0.781896,0.644712,1.5275252316519468,1.5275252316519468,4,1.0
1710,13837112,5,0.772311,0.518007,1.1547005383792517,1.1547005383792517,1,1.0
489,3951,6,0.832582,0.765218,0.0,0.0,1,1.0
1775,7611,6,0.732262,0.630168,0.0,0.0,1,1.0
3397,9357,6,0.835443,0.739951,0.0,0.0,1,1.0
481,6341,6,0.752668,0.66625,0.0,0.0,1,1.0
482,96860,6,0.733285,0.251035,0.0,0.0,1,1.0
1777,6267,6,0.793098,0.570108,0.0,0.0,1,1.0
