molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
298,6110,3,0.920663,0.919834,0.0,0.0,1,1.0
154,5837,3,0.829519,0.798145,0.3333333333333333,0.3333333333333333,1,1.0
297,21171184,3,0.895882,0.887173,1.0,1.0,2,1.0
303,10606585,3,0.918814,0.91841,1.0540925533894598,1.0540925533894598,4,1.0
290,2916,3,0.892527,0.885889,1.0540925533894598,1.0540925533894598,2,1.0
2380,7956,3,0.759084,0.721384,1.0540925533894598,1.0540925533894598,2,1.0
2748,274,3,0.782552,0.782219,1.0,1.0,2,1.0
293,6095,3,0.893438,0.888398,1.0540925533894598,1.0540925533894598,4,1.0
2749,654,3,0.881807,0.878012,0.3333333333333333,0.3333333333333333,2,1.0
192,278,3,0.876645,0.74051,1.0,1.0,1,1.0
296,6108,3,0.895323,0.886485,1.0,1.0,2,1.0
178,2006126,4,0.992179,0.988587,0.0,0.0,1,1.0
1734,13872989,4,0.901043,0.574887,1.0,1.0,2,1.0
321,1114,4,0.894803,0.888228,0.3333333333333333,0.3333333333333333,3,1.0
1718,7556,4,0.946439,0.679089,1.0,1.0,2,1.0
2697,28994,4,0.935216,0.927937,0.3333333333333333,0.3333333333333333,2,1.0
3168,558928,4,0.887523,0.610577,1.0,1.0,2,1.0
316,6130,4,0.921396,0.916787,1.0540925533894598,1.0540925533894598,3,1.0
231,5977,4,0.921048,0.916564,1.0540925533894598,1.0540925533894598,3,1.0
310,6124,4,0.900162,0.892851,1.0540925533894598,1.0540925533894598,5,1.0
1724,13836674,4,0.899022,0.576017,1.0,1.0,2,1.0
193,171,4,0.897575,0.581911,1.0,1.0,1,1.0
97,5008,5,0.810449,0.678424,0.0,0.0,1,1.0
1913,7731,5,0.816753,0.641066,0.0,0.0,1,1.0
2750,60514,5,0.853406,0.600353,0.0,0.0,1,1.0
2783,60524,5,0.79329,0.755181,0.0,0.0,1,1.0
3099,3596,5,0.90829,0.895494,0.0,0.0,1,1.0
3200,1019,5,0.889458,0.662467,0.0,0.0,1,1.0
3201,8897,5,0.918998,0.887272,0.0,0.0,1,1.0
3202,773,5,0.847635,0.371249,0.0,0.0,1,1.0
3203,8899,5,0.877014,0.816495,0.0,0.0,1,1.0
3204,8900,5,0.833406,0.67785,0.0,0.0,2,1.0
1920,7738,5,0.884604,0.718739,1.0,1.0,4,1.0
330,6148,5,0.873802,0.866426,1.0540925533894598,1.0540925533894598,5,1.0
98,2275,5,0.910314,0.300085,1.0,1.0,1,1.0
2407,21106125,5,0.910983,0.745242,1.0,1.0,1,1.0
467,857,5,0.909612,0.774623,1.0,1.0,2,1.0
1896,7713,5,0.828943,0.497055,1.0,1.0,2,1.0
1893,7710,5,0.875607,0.864004,1.0540925533894598,1.0540925533894598,6,1.0
233,5978,5,0.896797,0.877847,1.0540925533894598,1.0540925533894598,3,1.0
3100,10205670,5,0.910662,0.73826,1.0,1.0,1,1.0
470,737,5,0.883908,0.234225,1.0,1.0,1,1.0
1170,2070,6,0.908966,0.736992,0.0,0.0,1,1.0
2173,10341,6,0.917734,0.538761,0.0,0.0,1,1.0
167,1577,6,0.926146,0.829337,0.0,0.0,2,1.0
1171,2005898,6,0.924166,0.809443,0.0,0.0,1,1.0
2751,29034,6,0.889751,0.711343,0.0,0.0,1,1.0
3148,8672,6,0.826746,0.806031,0.0,0.0,1,1.0
3205,8902,6,0.805545,0.736348,0.0,0.0,2,1.0
1985,1020,6,0.859522,0.761087,0.0,0.0,1,1.0
1979,54992,6,0.878279,0.798998,0.0,0.0,1,1.0
3206,8903,6,0.838208,0.615924,0.0,0.0,2,1.0
1990,13837537,6,0.896384,0.879578,0.3333333333333333,0.3333333333333333,2,1.0
3397,9357,6,0.941141,0.920596,0.33333333333333337,0.33333333333333337,1,1.0
1970,7777,6,0.880695,0.872687,0.3333333333333333,0.3333333333333333,2,1.0
341,6161,6,0.901564,0.887321,1.0540925533894598,1.0540925533894598,6,1.0
2171,13854808,6,0.914111,0.891879,1.0540925533894598,1.0540925533894598,6,1.0
1989,60330,6,0.888289,0.867861,0.3333333333333333,0.3333333333333333,6,1.0
1150,7013,6,0.909375,0.884794,1.0540925533894598,1.0540925533894598,7,1.0
1168,7029,6,0.898111,0.401159,1.0,1.0,1,1.0
1162,60140,6,0.887472,0.370895,1.0,1.0,1,1.0
484,21106100,6,0.911241,0.555936,1.0,1.0,1,1.0
3032,1013337,7,0.954963,0.845357,0.0,0.0,1,1.0
226,5975,7,0.937623,0.540648,0.0,0.0,1,1.0
1844,13874733,7,0.879521,0.717103,0.0,0.0,1,1.0
3031,8527,7,0.90764,0.448817,0.0,0.0,1,1.0
1858,13839199,7,0.876173,0.713296,0.0,0.0,1,1.0
1860,7688,7,0.945874,0.802506,0.0,0.0,2,1.0
1853,7683,7,0.85052,0.681112,0.0,0.0,1,1.0
3049,8542,7,0.95941,0.843008,0.0,0.0,1,1.0
3224,8953,7,0.919839,0.914376,0.0,0.0,1,1.0
1856,7685,7,0.951078,0.908597,0.0,0.0,1,1.0
1601,7465,7,0.930172,0.302504,1.0,1.0,1,1.0
1887,7704,7,0.914888,0.902283,0.3333333333333333,0.3333333333333333,2,1.0
3337,61033,7,0.906876,0.218565,1.0,1.0,1,1.0
399,21106033,7,0.928632,0.91019,1.0540925533894598,1.0540925533894598,8,1.0
1599,7463,7,0.933605,0.29899,1.0,1.0,1,1.0
1800,7634,7,0.937265,0.33894,1.0,1.0,2,1.0
1845,7676,7,0.921009,0.65788,1.0,1.0,6,1.0
1846,7677,7,0.902622,0.845606,0.3333333333333333,0.3333333333333333,1,1.0
1889,30037,7,0.927456,0.918235,0.3333333333333333,0.3333333333333333,3,1.0
3232,597,7,0.851729,0.834124,0.3333333333333333,0.3333333333333333,1,1.0
1326,7225,8,0.907356,0.644967,0.0,0.0,1,1.0
149,568,8,0.981382,0.831424,0.0,0.0,2,1.0
1935,60324,8,0.951102,0.413381,0.0,0.0,1,1.0
2192,21105905,8,0.980896,0.915306,0.0,0.0,1,1.0
1332,78,8,0.921619,0.584006,0.0,0.0,1,1.0
1337,7236,8,0.992883,0.981738,0.0,0.0,1,1.0
1343,7241,8,0.915636,0.453557,0.0,0.0,1,1.0
2116,2006396,8,0.932855,0.722297,0.0,0.0,2,1.0
1322,7221,8,0.899187,0.709653,0.0,0.0,1,1.0
539,59832,8,0.947323,0.309158,0.0,0.0,1,1.0
366,21106164,8,0.968236,0.954474,1.0540925533894598,1.0540925533894598,9,1.0
1928,7744,8,0.922468,0.557163,1.0,1.0,2,1.0
1818,7652,8,0.94048,0.472564,1.0,1.0,2,1.0
3194,8882,8,0.922226,0.897539,0.3333333333333333,0.3333333333333333,6,1.0
1813,4878,8,0.908527,0.520216,1.0,1.0,6,1.0
1334,7233,8,0.939851,0.922445,0.3333333333333333,0.3333333333333333,2,1.0
2756,29041,8,0.95963,0.942907,1.0540925533894598,1.0540925533894598,8,1.0
2685,28986,8,0.938551,0.400125,1.0,1.0,1,1.0
1678,13875160,8,0.922673,0.646749,1.0,1.0,6,1.0
1105,6967,8,0.893019,0.569352,1.0,1.0,6,1.0
1833,7666,9,0.900865,0.752822,0.0,0.0,3,1.0
1834,7667,9,0.91995,0.670134,0.0,0.0,3,1.0
1088,6952,9,0.846962,0.603307,0.0,0.0,1,1.0
3190,60826,9,0.8857,0.867928,0.0,0.0,2,1.0
1832,21106174,9,0.911835,0.724278,0.0,0.0,1,1.0
2986,8486,9,0.868745,0.378697,0.0,0.0,1,1.0
1836,7668,9,0.886547,0.736529,0.0,0.0,3,1.0
3308,13856009,9,0.821253,0.581914,0.0,0.0,1,1.0
52,5709,9,0.851564,0.498668,0.0,0.0,1,1.0
1573,21105900,9,0.854172,0.474245,0.0,0.0,1,1.0
852,21106014,9,0.868939,0.668823,1.0,1.0,7,1.0
2704,21106173,9,0.891965,0.843335,1.0540925533894598,1.0540925533894598,12,1.0
2985,60657,9,0.836379,0.702233,0.3333333333333333,0.3333333333333333,1,1.0
152,548,9,0.871345,0.763161,0.3333333333333333,0.3333333333333333,1,1.0
744,13840647,9,0.836584,0.67,0.3333333333333333,0.3333333333333333,1,1.0
1700,7535,9,0.881199,0.848206,1.0540925533894598,1.0540925533894598,13,1.0
2071,7852,9,0.872912,0.82808,1.0540925533894598,1.0540925533894598,15,1.0
2674,28981,9,0.907698,0.267336,1.0,1.0,1,1.0
227,5976,9,0.891436,0.883719,0.3333333333333333,0.3333333333333333,4,1.0
1992,723,9,0.885286,0.457017,1.0,1.0,2,1.0
2918,8382,10,0.838892,0.455883,0.0,0.0,1,1.0
3473,9451,10,0.834978,0.181685,0.0,0.0,1,1.0
272,59533,10,0.849109,0.432058,0.0,0.0,1,1.0
2574,8138,10,0.90534,0.753135,0.0,0.0,1,1.0
276,185,10,0.870865,0.371733,0.0,0.0,3,1.0
3184,60812,10,0.909856,0.785655,0.0,0.0,2,1.0
2286,63911,10,0.902468,0.684001,0.0,0.0,2,1.0
3128,608157,10,0.783295,0.549964,0.0,0.0,1,1.0
1013,21111785,10,0.821752,0.611479,0.0,0.0,1,1.0
896,6780,10,0.902633,0.782554,0.0,0.0,1,1.0
