ID,CASRN,Name,ChemSpiderID,MolecularFormula,VerticeSet,EdgeSet,NumHydrogenSet,amine,nitrile,imine,sulfide,thiol,halide_F,halide_Cl,halide_Br,halide_I,phosphate,alcohol,carboxylic_acid,acid_halide_F,acid_halide_Cl,acid_halide_Br,ester,anhydride,imide_0,imide_1,amide_0,amide_1,amide_2,isocyanate,aldehyde,ketone,benzene
1,50-00-0,Formaldehyde,692,CH2O,"['C1', 'O1']","[('C1', 'O1'), ('C1', 'O1')]","[2, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
3,50-21-5,DL-Lactic Acid,592,C3H6O3,"['C1', 'C2', 'C3', 'O1', 'O2', 'O3']","[('C1', 'C2'), ('C2', 'C3'), ('C2', 'O3'), ('C3', 'O1'), ('C3', 'O1'), ('C3', 'O2')]","[3, 1, 0, 0, 1, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
4,50-23-7,Cortisol,5551,C21H30O5,"['C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9', 'C10', 'C11', 'C12', 'C13', 'C14', 'C15', 'C16', 'O1', 'O2', 'C17', 'C18', 'C19', 'C20', 'C21', 'O3', 'O4', 'O5']","[('C2', 'C1'), ('C2', 'C3'), ('C2', 'C7'), ('C2', 'C21'), ('C3', 'C4'), ('C4', 'C5'), ('C5', 'C6'), ('C5', 'O5'), ('C5', 'O5'), ('C6', 'C7'), ('C6', 'C7'), ('C7', 'C8'), ('C8', 'C9'), ('C9', 'C10'), ('C10', 'C11'), ('C10', 'C21'), ('C11', 'C12'), ('C11', 'C17'), ('C12', 'C13'), ('C13', 'C14'), ('C14', 'C15'), ('C14', 'C17'), ('C14', 'O4'), ('C15', 'C16'), ('C15', 'O2'), ('C15', 'O2'), ('C16', 'O1'), ('C17', 'C18'), ('C17', 'C19'), ('C19', 'C20'), ('C20', 'C21'), ('C20', 'O3')]","[3, 0, 2, 2, 0, 1, 0, 2, 2, 1, 1, 2, 2, 0, 0, 2, 1, 0, 0, 3, 2, 1, 1, 1, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
5,50-24-8,prednisolone,5552,C21H28O5,"['C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9', 'C10', 'C11', 'C12', 'C13', 'C14', 'C15', 'C16', 'O1', 'O2', 'C17', 'C18', 'C19', 'C20', 'C21', 'O3', 'O4', 'O5']","[('C2', 'C1'), ('C2', 'C3'), ('C2', 'C7'), ('C2', 'C21'), ('C3', 'C4'), ('C3', 'C4'), ('C4', 'C5'), ('C5', 'C6'), ('C5', 'O5'), ('C5', 'O5'), ('C6', 'C7'), ('C6', 'C7'), ('C7', 'C8'), ('C8', 'C9'), ('C9', 'C10'), ('C10', 'C11'), ('C10', 'C21'), ('C11', 'C12'), ('C11', 'C17'), ('C12', 'C13'), ('C13', 'C14'), ('C14', 'C15'), ('C14', 'C17'), ('C14', 'O4'), ('C15', 'C16'), ('C15', 'O2'), ('C15', 'O2'), ('C16', 'O1'), ('C17', 'C18'), ('C17', 'C19'), ('C19', 'C20'), ('C20', 'C21'), ('C20', 'O3')]","[3, 0, 1, 1, 0, 1, 0, 2, 2, 1, 1, 2, 2, 0, 0, 2, 1, 0, 0, 3, 2, 1, 1, 1, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
6,50-29-3,DDT,2928,C14H9Cl5,"['C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9', 'C10', 'C11', 'C12', 'C13', 'Cl1', 'C14', 'Cl2', 'Cl3', 'Cl4', 'Cl5']","[('C1', 'C2'), ('C1', 'C2'), ('C1', 'C6'), ('C2', 'C3'), ('C3', 'C4'), ('C3', 'C4'), ('C3', 'Cl5'), ('C4', 'C5'), ('C5', 'C6'), ('C5', 'C6'), ('C6', 'C7'), ('C7', 'C8'), ('C7', 'C14'), ('C8', 'C9'), ('C8', 'C9'), ('C8', 'C13'), ('C9', 'C10'), ('C10', 'C11'), ('C10', 'C11'), ('C11', 'C12'), ('C11', 'Cl1'), ('C12', 'C13'), ('C12', 'C13'), ('C14', 'Cl2'), ('C14', 'Cl3'), ('C14', 'Cl4')]","[1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
7,50-30-6,"2,6-Dichlorobenzoic acid",5555,C7H4Cl2O2,"['O1', 'C1', 'O2', 'C2', 'C3', 'Cl1', 'C4', 'C5', 'C6', 'C7', 'Cl2']","[('O1', 'C1'), ('C1', 'O2'), ('C1', 'O2'), ('C1', 'C2'), ('C2', 'C3'), ('C2', 'C7'), ('C2', 'C7'), ('C3', 'Cl1'), ('C3', 'C4'), ('C3', 'C4'), ('C4', 'C5'), ('C5', 'C6'), ('C5', 'C6'), ('C6', 'C7'), ('C7', 'Cl2')]","[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
8,50-31-7,"2,3,6-tcba",5556,C7H3Cl3O2,"['Cl1', 'C1', 'C2', 'Cl2', 'C3', 'C4', 'C5', 'C6', 'C7', 'O1', 'O2', 'Cl3']","[('Cl1', 'C1'), ('C1', 'C2'), ('C1', 'C2'), ('C1', 'C7'), ('C2', 'Cl2'), ('C2', 'C3'), ('C3', 'C4'), ('C3', 'C5'), ('C3', 'C5'), ('C5', 'C6'), ('C6', 'C7'), ('C6', 'C7'), ('C4', 'O1'), ('C4', 'O2'), ('C4', 'O2'), ('C5', 'Cl3')]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
9,50-32-8,Benzo[a]pyrene,2246,C20H12,"['C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9', 'C10', 'C11', 'C12', 'C13', 'C14', 'C15', 'C16', 'C17', 'C18', 'C19', 'C20']","[('C1', 'C2'), ('C1', 'C6'), ('C1', 'C6'), ('C2', 'C3'), ('C2', 'C3'), ('C3', 'C4'), ('C4', 'C5'), ('C4', 'C5'), ('C4', 'C18'), ('C5', 'C6'), ('C5', 'C7'), ('C7', 'C8'), ('C7', 'C8'), ('C8', 'C9'), ('C8', 'C19'), ('C9', 'C10'), ('C9', 'C10'), ('C10', 'C11'), ('C11', 'C12'), ('C11', 'C20'), ('C11', 'C20'), ('C12', 'C13'), ('C12', 'C13'), ('C13', 'C14'), ('C14', 'C15'), ('C14', 'C15'), ('C15', 'C16'), ('C15', 'C20'), ('C16', 'C17'), ('C16', 'C17'), ('C17', 'C18'), ('C18', 'C19'), ('C18', 'C19'), ('C19', 'C20')]","[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
11,50-43-1,"2,4,6-Trichlorobenzoic acid",5561,C7H3Cl3O2,"['O1', 'C1', 'O2', 'C2', 'C3', 'Cl1', 'C4', 'C5', 'Cl2', 'C6', 'C7', 'Cl3']","[('O1', 'C1'), ('C1', 'O2'), ('C1', 'O2'), ('C1', 'C2'), ('C2', 'C3'), ('C2', 'C7'), ('C2', 'C7'), ('C3', 'Cl1'), ('C3', 'C4'), ('C3', 'C4'), ('C4', 'C5'), ('C5', 'Cl2'), ('C5', 'C6'), ('C5', 'C6'), ('C6', 'C7'), ('C7', 'Cl3')]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
12,50-45-3,"2,3-Dichlorobenzoic acid",5562,C7H4Cl2O2,"['O1', 'C1', 'O2', 'C2', 'C3', 'Cl1', 'C4', 'C5', 'Cl2', 'C6', 'C7', 'Cl3']","[('O1', 'C1'), ('C1', 'O2'), ('C1', 'O2'), ('C1', 'C2'), ('C2', 'C3'), ('C2', 'C7'), ('C2', 'C7'), ('C3', 'Cl1'), ('C3', 'C4'), ('C3', 'C4'), ('C4', 'C5'), ('C5', 'Cl2'), ('C5', 'C6'), ('C5', 'C6'), ('C6', 'C7'), ('C7', 'Cl3')]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
14,50-70-4,Sorbitol,5576,C6H14O6,"['O1', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'O2', 'O3', 'O4', 'O5', 'O6']","[('O1', 'C1'), ('C1', 'C2'), ('C2', 'C3'), ('C2', 'O6'), ('C3', 'C4'), ('C3', 'O5'), ('C4', 'C5'), ('C4', 'O4'), ('C5', 'C6'), ('C5', 'O3'), ('C6', 'O2')]","[1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
15,50-71-5,alloxan,5577,C4H2N2O4,"['O1', 'C1', 'N1', 'C2', 'O2', 'C3', 'O3', 'C4', 'O4', 'N2']","[('O1', 'C1'), ('O1', 'C1'), ('C1', 'N1'), ('C1', 'N2'), ('N1', 'C2'), ('C2', 'O2'), ('C2', 'O2'), ('C2', 'C3'), ('C3', 'O3'), ('C3', 'O3'), ('C3', 'C4'), ('C4', 'O4'), ('C4', 'O4'), ('C4', 'N2')]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
16,50-73-7,"2,3,5-Trichlorobenzoic acid",59509,C7H3Cl3O2,"['O1', 'C1', 'O2', 'C2', 'C3', 'C4', 'Cl1', 'C5', 'C6', 'Cl2', 'C7', 'Cl3']","[('O1', 'C1'), ('C1', 'O2'), ('C1', 'O2'), ('C1', 'C2'), ('C2', 'C3'), ('C2', 'C7'), ('C2', 'C7'), ('C3', 'C4'), ('C3', 'C4'), ('C4', 'Cl1'), ('C4', 'C5'), ('C5', 'C6'), ('C5', 'C6'), ('C6', 'Cl2'), ('C6', 'C7'), ('C7', 'Cl3')]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
17,50-78-2,Aspirin,2157,C9H8O4,"['C1', 'C2', 'O1', 'O2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9', 'O3', 'O4']","[('C1', 'C2'), ('C2', 'O1'), ('C2', 'O1'), ('C2', 'O2'), ('O2', 'C3'), ('C3', 'C4'), ('C3', 'C8'), ('C3', 'C8'), ('C4', 'C5'), ('C4', 'C5'), ('C5', 'C6'), ('C6', 'C7'), ('C6', 'C7'), ('C7', 'C8'), ('C8', 'C9'), ('C9', 'O3'), ('C9', 'O4'), ('C9', 'O4')]","[3, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
18,50-79-3,"2,5-Dichlorobenzoic acid",10801689,C7H4Cl2O2,"['O1', 'C1', 'O2', 'C2', 'C3', 'Cl1', 'C4', 'C5', 'C6', 'Cl2', 'C7']","[('O1', 'C1'), ('C1', 'O2'), ('C1', 'O2'), ('C1', 'C2'), ('C2', 'C3'), ('C2', 'C3'), ('C2', 'C7'), ('C3', 'Cl1'), ('C3', 'C4'), ('C4', 'C5'), ('C4', 'C5'), ('C5', 'C6'), ('C6', 'Cl2'), ('C6', 'C7'), ('C6', 'C7')]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
