molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
3168,558928,4,0.795702,0.579291,1.4907119849998598,1.4907119849998598,2,1.0
87,5756,4,0.832326,0.677599,1.9436506316151,1.9436506316151,2,1.0
2381,7957,4,0.827771,0.486459,1.855921454276674,1.855921454276674,2,1.0
2696,512,4,0.796534,0.604632,1.247219128924647,1.247219128924647,1,1.0
147,1512,4,0.757474,0.750756,1.043498389499902,1.043498389499902,2,1.0
320,6134,4,0.726795,0.718328,1.4907119849998598,1.4907119849998598,6,1.0
229,3644,4,0.702331,0.650615,1.5275252316519465,1.5275252316519465,4,1.0
317,6131,4,0.739351,0.619331,1.0,1.0,2,1.0
304,6118,4,0.732079,0.657414,1.7950549357115013,1.7950549357115013,4,1.0
1727,31029,4,0.737434,0.633969,1.7320508075688772,1.7320508075688772,2,1.0
98,2275,5,0.712224,0.402902,0.0,0.0,1,1.0
474,6335,5,0.815253,0.476888,0.0,0.0,1,1.0
475,6336,5,0.730491,0.378933,0.0,0.0,1,1.0
476,6337,5,0.82653,0.493064,0.0,0.0,1,1.0
1896,7713,5,0.760934,0.230986,1.7320508075688772,1.7320508075688772,1,1.0
462,6321,5,0.748742,0.41124,1.2018504251546631,1.2018504251546631,1,1.0
1913,7731,5,0.73841,0.575177,1.0540925533894598,1.0540925533894598,2,1.0
1709,7546,5,0.707941,0.392551,1.2909944487358056,1.2909944487358056,2,1.0
62,6149,5,0.725879,0.708548,1.4529663145135578,1.4529663145135578,12,1.0
3519,61254,5,0.717942,0.506282,1.0,1.0,1,1.0
265,6042,5,0.626746,0.552084,1.4529663145135578,1.4529663145135578,6,1.0
467,857,5,0.781199,0.43277,0.3333333333333333,0.3333333333333333,1,1.0
59,6151,5,0.716225,0.701557,1.4529663145135578,1.4529663145135578,12,1.0
334,6153,5,0.625111,0.613885,1.4529663145135578,1.4529663145135578,12,1.0
33,5439,6,0.712823,0.534894,0.0,0.0,1,1.0
1159,54945,6,0.711309,0.584002,0.0,0.0,1,1.0
1160,7022,6,0.718,0.505218,0.0,0.0,1,1.0
1161,13872667,6,0.710103,0.582721,0.0,0.0,1,1.0
1162,60140,6,0.702381,0.625249,0.0,0.0,1,1.0
1168,7029,6,0.702586,0.275647,0.0,0.0,1,1.0
1169,7030,6,0.696021,0.416514,0.0,0.0,2,1.0
1783,7616,6,0.742927,0.465507,0.0,0.0,1,1.0
2210,11526,6,0.805204,0.419971,0.0,0.0,2,1.0
3028,8525,6,0.720285,0.368963,0.0,0.0,1,1.0
1979,54992,6,0.710719,0.500889,1.0540925533894598,1.0540925533894598,2,1.0
2930,8400,6,0.834344,0.599637,1.632993161855452,1.632993161855452,4,1.0
2248,12578,6,0.847926,0.312459,1.0,1.0,1,1.0
1164,7026,6,0.718521,0.636535,1.3333333333333333,1.3333333333333333,4,1.0
77,733,6,0.763558,0.416478,0.7453559924999299,0.7453559924999299,2,1.0
2929,8398,6,0.861899,0.269095,1.3333333333333335,1.3333333333333335,2,1.0
490,56121,6,0.811627,0.438443,0.3333333333333333,0.3333333333333333,1,1.0
1971,7779,6,0.808436,0.567293,1.699673171197595,1.699673171197595,2,1.0
1167,7028,6,0.799369,0.524666,1.2909944487358056,1.2909944487358056,2,1.0
1982,7787,6,0.75129,0.300769,1.855921454276674,1.855921454276674,12,1.0
1597,13867413,7,0.743071,0.50498,0.0,0.0,1,1.0
1601,7465,7,0.807774,0.465815,0.0,0.0,1,1.0
1602,7466,7,0.805811,0.444784,0.0,0.0,1,1.0
2417,8013,7,0.754015,0.582755,0.0,0.0,1,1.0
1891,7706,7,0.811141,0.408586,0.0,0.0,1,1.0
1598,7462,7,0.80799,0.464937,0.0,0.0,1,1.0
1801,7635,7,0.769086,0.364606,0.0,0.0,2,1.0
2991,8490,7,0.792632,0.411355,0.0,0.0,1,1.0
1795,7627,7,0.786601,0.424635,0.0,0.0,1,1.0
1799,7633,7,0.813407,0.383281,0.0,0.0,1,1.0
2034,7827,7,0.832561,0.62634,1.4832396974191326,1.4832396974191326,4,1.0
1787,7622,7,0.784663,0.306391,1.247219128924647,1.247219128924647,1,1.0
50,5708,7,0.823052,0.514986,1.2909944487358056,1.2909944487358056,2,1.0
3048,60669,7,0.902518,0.688184,1.6666666666666667,1.6666666666666667,2,1.0
2254,3397441,7,0.914334,0.88924,1.0540925533894598,1.0540925533894598,5,1.0
3402,71321,7,0.808175,0.379413,1.632993161855452,1.632993161855452,4,1.0
1848,7679,7,0.863435,0.436214,1.2018504251546631,1.2018504251546631,2,1.0
3246,9016,7,0.858212,0.707594,1.4529663145135578,1.4529663145135578,6,1.0
2766,13835293,7,0.809546,0.701238,0.881917103688197,0.881917103688197,2,1.0
1596,83714,7,0.873199,0.629305,1.1547005383792517,1.1547005383792517,1,1.0
1605,13874867,8,0.763352,0.198751,0.0,0.0,1,1.0
1606,7472,8,0.771929,0.325501,0.0,0.0,1,1.0
2177,10350,8,0.837136,0.448294,0.0,0.0,1,1.0
