molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
350,6170,6,0.352578,0.184692,1.9999999999999998,1.9999999999999998,12,2.0
2787,29107,6,0.272615,0.038513,2.081665999466133,2.081665999466133,4,1.0
1781,59443,6,0.265974,0.035021,2.403700850309326,2.403700850309326,4,2.0
1770,7606,6,0.298897,0.026808,2.3804761428476167,2.3804761428476167,4,1.0
2930,8400,6,0.40429,0.037811,2.160246899469287,2.160246899469287,4,1.0
2169,21106513,6,0.433856,0.267728,1.699673171197595,1.699673171197595,4,1.0
1974,7781,6,0.335793,0.131919,2.0,2.0,4,1.0
3063,8554,6,0.409974,0.081349,2.0,2.0,6,1.0
1159,54945,6,0.519298,0.346662,1.3333333333333333,1.3333333333333333,2,1.0
262,236,6,0.45086,0.182537,1.9436506316151003,1.9436506316151003,36,1.0
1798,7630,7,0.42895,0.207538,0.0,0.0,2,1.0
1800,7634,7,0.434207,0.071523,0.0,0.0,2,1.0
1801,7635,7,0.469035,0.059633,0.0,0.0,2,1.0
2019,7812,7,0.498265,0.052195,2.0275875100994063,2.0275875100994063,2,1.0
356,10800462,7,0.502509,0.31727,1.2018504251546631,1.2018504251546631,6,1.0
3402,71321,7,0.593165,0.040374,2.160246899469287,2.160246899469287,4,1.0
2016,7809,7,0.563247,0.148476,2.1602468994692865,2.1602468994692865,8,1.0
3048,60669,7,0.477429,0.07321,2.333333333333333,2.333333333333333,8,1.5
1802,7636,7,0.499725,0.169462,0.6666666666666666,0.6666666666666666,2,1.0
1217,7081,7,0.480516,0.113551,1.855921454276674,1.855921454276674,4,1.0
2030,7823,7,0.481587,0.096248,2.0,2.0,2,1.0
1797,7629,7,0.476704,0.129725,1.2018504251546631,1.2018504251546631,2,1.0
2024,7817,7,0.503464,0.074446,1.8856180831641267,1.8856180831641267,2,1.0
1818,7652,8,0.522027,0.274246,0.0,0.0,2,1.0
539,59832,8,0.551958,0.363731,2.1081851067789197,2.1081851067789197,8,1.0
2993,8496,8,0.543152,0.343876,1.1055415967851334,1.1055415967851334,4,1.0
1331,13851383,8,0.580382,0.274998,1.7256238807393047,1.7256238807393047,32,1.0
1343,7241,8,0.546798,0.234527,1.855921454276674,1.855921454276674,20,1.0
1807,21111833,8,0.579593,0.397882,1.6599866130651644,1.6599866130651644,16,1.0
2148,21168731,8,0.513254,0.233055,1.855921454276674,1.855921454276674,28,1.0
2053,7835,8,0.567067,0.088945,2.3333333333333335,2.3333333333333335,6,1.0
1677,7521,8,0.594772,0.380404,1.8856180831641267,1.8856180831641267,24,1.0
271,6051,8,0.483122,0.132158,0.7453559924999299,0.7453559924999299,2,1.0
1813,4878,8,0.589835,0.063381,1.247219128924647,1.247219128924647,2,1.0
2272,63892,9,0.551892,0.153717,0.0,0.0,2,1.0
2273,63893,9,0.444864,0.031268,0.0,0.0,2,1.0
2703,29003,9,0.44793,0.067823,0.0,0.0,2,1.0
3480,61203,9,0.563661,0.151751,0.0,0.0,2,1.0
2673,28980,9,0.415371,0.010292,2.1602468994692865,2.1602468994692865,2,1.0
1562,7434,9,0.462262,0.015784,1.9436506316151,1.9436506316151,2,1.0
1701,7536,9,0.41989,0.171942,1.4529663145135578,1.4529663145135578,8,1.0
1699,215929,9,0.406119,0.013094,1.855921454276674,1.855921454276674,2,1.0
1756,7589,9,0.47227,0.014249,1.5986105077709065,1.5986105077709065,2,1.0
20,3268,9,0.479464,0.06485,1.0540925533894598,1.0540925533894598,4,1.0
