molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
2748,274,3,0.721091,0.701144,0.0,0.0,2,1.0
293,6095,3,0.931903,0.927245,1.1055415967851334,1.1055415967851334,2,1.0
297,21171184,3,0.871239,0.863862,0.4472135954999579,0.4472135954999579,2,1.0
291,6093,3,0.898498,0.886006,1.247219128924647,1.247219128924647,2,1.0
296,6108,3,0.871538,0.864026,0.4472135954999579,0.4472135954999579,2,1.0
298,6110,3,0.867584,0.841021,1.0,1.0,1,1.0
301,6112,3,0.849151,0.849151,1.4142135623730951,1.4142135623730951,6,1.0
290,2916,3,0.898575,0.885874,1.247219128924647,1.247219128924647,2,1.0
192,278,3,0.836266,0.809687,0.3333333333333333,0.3333333333333333,1,1.0
294,6097,3,0.883675,0.587413,1.247219128924647,1.247219128924647,1,1.0
300,6111,3,0.848876,0.848876,1.4142135623730951,1.4142135623730951,6,1.0
86,1143,4,0.996261,0.995118,0.0,0.0,1,1.0
155,173,4,0.850057,0.833152,0.0,0.0,1,1.0
193,171,4,0.863719,0.831948,0.0,0.0,1,1.0
230,175,4,0.849505,0.833586,0.0,0.0,1,1.0
313,6127,4,0.85154,0.833476,0.0,0.0,1,1.0
317,6131,4,0.852281,0.832971,0.0,0.0,1,1.0
3323,9246,4,0.993114,0.992221,0.0,0.0,1,1.0
307,6121,4,0.888516,0.879549,1.1055415967851334,1.1055415967851334,1,1.0
310,6124,4,0.880354,0.87082,0.7302967433402214,0.7302967433402214,1,1.0
1717,7555,4,0.865561,0.857768,1.4142135623730951,1.4142135623730951,2,1.0
305,6119,4,0.920645,0.916006,1.1055415967851334,1.1055415967851334,3,1.0
1736,21106502,4,0.857689,0.84269,0.3333333333333333,0.3333333333333333,1,1.0
87,5756,4,0.944245,0.936119,1.4529663145135578,1.4529663145135578,2,1.0
311,6125,4,0.942594,0.937378,1.1055415967851334,1.1055415967851334,2,1.0
321,1114,4,0.922193,0.916412,1.4529663145135578,1.4529663145135578,3,1.0
1741,7577,4,0.891246,0.720508,0.3333333333333333,0.3333333333333333,1,1.0
315,13836545,4,0.938817,0.928786,1.0540925533894598,1.0540925533894598,2,1.0
469,6330,5,0.824837,0.691235,0.0,0.0,1,1.0
463,6322,5,0.82843,0.675282,0.0,0.0,1,1.0
471,4200,5,0.928558,0.874696,0.0,0.0,1,1.0
475,6336,5,0.899464,0.767584,0.0,0.0,1,1.0
2784,29104,5,0.805122,0.687084,0.0,0.0,1,1.0
467,857,5,0.913903,0.579783,0.0,0.0,1,1.0
3370,9282,5,0.88832,0.846105,0.0,0.0,1,1.0
68,730,5,0.879443,0.726923,0.0,0.0,1,1.0
2259,12588,5,0.878834,0.85177,0.0,0.0,1,1.0
462,6321,5,0.80375,0.658898,0.0,0.0,1,1.0
473,2005980,5,0.907351,0.879247,0.4472135954999579,0.4472135954999579,1,1.0
59,6151,5,0.862597,0.848157,1.0540925533894598,1.0540925533894598,4,1.0
3486,9484,5,0.888504,0.879383,1.0540925533894598,1.0540925533894598,3,1.0
233,5978,5,0.919479,0.245603,0.7453559924999299,0.7453559924999299,1,1.0
335,6154,5,0.885348,0.87893,1.0540925533894598,1.0540925533894598,4,1.0
452,6311,5,0.880448,0.373533,1.0540925533894598,1.0540925533894598,1,1.0
1900,7716,5,0.780264,0.705867,1.4142135623730951,1.4142135623730951,5,1.0
1908,7726,5,0.912136,0.899756,0.816496580927726,0.816496580927726,1,1.0
96,13835224,5,0.87497,0.652344,0.5773502691896257,0.5773502691896257,1,1.0
449,6308,5,0.873289,0.698944,1.2909944487358056,1.2909944487358056,2,1.0
2583,8141,6,0.851501,0.755536,0.0,0.0,1,1.0
1774,259,6,0.922682,0.905012,0.0,0.0,1,1.0
1979,54992,6,0.821561,0.785366,0.0,0.0,1,1.0
1169,7030,6,0.866425,0.716347,0.0,0.0,1,1.0
1776,234,6,0.836394,0.783958,0.0,0.0,1,1.0
1162,60140,6,0.837244,0.644148,0.0,0.0,1,1.0
2584,8142,6,0.838394,0.766409,0.0,0.0,1,1.0
2136,64234,6,0.917417,0.902274,0.0,0.0,1,1.0
3375,9287,6,0.921837,0.918869,0.0,0.0,2,1.0
1159,54945,6,0.831693,0.652542,0.0,0.0,1,1.0
1165,7027,6,0.846111,0.801074,0.5577733510227171,0.5577733510227171,1,1.0
