molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
176,5889,7,0.450816,0.126408,0,0,6,1
177,5890,7,0.450687,0.126324,0,0,6,1
1841,7673,7,0.450921,0.098381,0,0,6,1
1843,1108,7,0.411566,0.051104,0,0,6,1
1845,7676,7,0.471592,0.117637,0,0,6,1
1849,971,7,0.441633,0.071257,0,0,6,1
1851,7681,7,0.471364,0.11766,0,0,6,1
1859,59447,7,0.39907,0.050283,1.201850425,1.201850425,6,1
1883,7700,7,0.410152,0.075219,0.666666667,0.666666667,5,1.2
3332,55056,7,0.39806,0.09155,2.211083194,2.211083194,72,1
1885,7702,7,0.334464,0.176558,0.942809042,0.942809042,72,1
180,5891,7,0.306739,0.019877,1.666666667,1.666666667,12,1
2393,1477,7,0.399893,0.068573,1.632993162,1.632993162,24,1
3491,21111803,7,0.380296,0.035411,1.943650632,1.943650632,30,1.2
3069,8560,7,0.401114,0.056504,0.666666667,0.666666667,12,1
174,5887,7,0.388125,0.048302,1.943650632,1.943650632,36,1
1218,21159432,7,0.415596,0.105868,1.632993162,1.632993162,24,1
1335,7234,8,0.489916,0.131683,0,0,6,1
1325,7224,8,0.493771,0.149785,0,0,6,1
1114,6974,8,0.535355,0.172642,0,0,6,1
2191,10364,8,0.459104,0.127987,0,0,6,1
1803,13875356,8,0.433637,0.073143,0,0,6,1
1108,13837988,8,0.477521,0.106372,0,0,6,1
1106,13835772,8,0.457404,0.112721,0,0,6,1
1336,7235,8,0.495446,0.16932,0,0,6,1
1330,235,8,0.495681,0.141201,0,0,6,1
1684,13835151,8,0.437333,0.060382,0,0,6,1
2116,2006396,8,0.451451,0.078807,1.414213562,1.414213562,6,1
1747,13884973,8,0.378281,0.111783,0.942809042,0.942809042,48,1
2057,89453,8,0.407508,0.086798,1,1,24,1
2576,1462858,8,0.412961,0.049239,1.56347192,1.56347192,6,1
1745,7580,8,0.343952,0.044545,0.816496581,0.816496581,36,1
1603,7469,8,0.429499,0.154342,0.816496581,0.816496581,24,1
2699,28997,8,0.472164,0.027848,2.134374746,2.134374746,6,1
1748,7583,8,0.442079,0.08421,1.490711985,1.490711985,6,1
2622,21159479,8,0.422474,0.115902,1.374368542,1.374368542,36,1
88,13842993,8,0.336771,0.063063,1.699673171,1.699673171,72,1
