molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
298,6110,3,0.921061,0.920797,0.0,0.0,1,1.0
290,2916,3,0.906997,0.895148,1.0540925533894598,1.0540925533894598,2,1.0
2748,274,3,0.759951,0.758756,1.0,1.0,2,1.0
297,21171184,3,0.890685,0.877772,1.0,1.0,2,1.0
300,6111,3,0.832703,0.832703,1.0540925533894598,1.0540925533894598,6,1.0
302,6114,3,0.878277,0.876915,1.0540925533894598,1.0540925533894598,4,1.0
292,6094,3,0.857563,0.856392,1.0540925533894598,1.0540925533894598,4,1.0
2749,654,3,0.890481,0.886675,0.3333333333333333,0.3333333333333333,2,1.0
291,6093,3,0.907026,0.895347,1.0540925533894598,1.0540925533894598,2,1.0
301,6112,3,0.833141,0.833141,1.0540925533894598,1.0540925533894598,6,1.0
191,682,3,0.91393,0.898146,1.0540925533894598,1.0540925533894598,3,1.0
178,2006126,4,0.993277,0.991528,0.0,0.0,1,1.0
1737,13835235,4,0.92286,0.914357,1.0540925533894598,1.0540925533894598,4,1.0
316,6130,4,0.896569,0.891463,1.0540925533894598,1.0540925533894598,3,1.0
1723,13854130,4,0.913991,0.900678,1.0540925533894598,1.0540925533894598,4,1.0
1717,7555,4,0.840554,0.82999,1.0540925533894598,1.0540925533894598,6,1.0
1722,7560,4,0.923483,0.916544,1.0540925533894598,1.0540925533894598,5,1.0
312,13835316,4,0.817377,0.735909,1.0,1.0,2,1.0
1726,21106015,4,0.919527,0.909122,1.0540925533894598,1.0540925533894598,4,1.0
3197,8895,4,0.941471,0.931042,1.0540925533894598,1.0540925533894598,6,1.0
1734,13872989,4,0.874045,0.770657,1.0,1.0,2,1.0
1715,7552,4,0.913895,0.904205,1.0540925533894598,1.0540925533894598,5,1.0
97,5008,5,0.814577,0.672229,0.0,0.0,1,1.0
1913,7731,5,0.791679,0.715732,0.0,0.0,1,1.0
2750,60514,5,0.853336,0.653343,0.0,0.0,1,1.0
2783,60524,5,0.795027,0.70638,0.0,0.0,1,1.0
3099,3596,5,0.91073,0.858729,0.0,0.0,1,1.0
3200,1019,5,0.885196,0.878507,0.0,0.0,1,1.0
3201,8897,5,0.914653,0.784749,0.0,0.0,1,1.0
3202,773,5,0.893233,0.854419,0.0,0.0,1,1.0
3203,8899,5,0.885666,0.854666,0.0,0.0,1,1.0
3204,8900,5,0.828734,0.723981,0.0,0.0,2,1.0
1909,7727,5,0.902882,0.8201,0.3333333333333333,0.3333333333333333,1,1.0
1901,7717,5,0.888225,0.835597,0.33333333333333337,0.33333333333333337,1,1.0
3218,55053,5,0.887174,0.650717,1.0,1.0,1,1.0
265,6042,5,0.883351,0.876777,1.0540925533894598,1.0540925533894598,5,1.0
1903,13884495,5,0.857439,0.835092,0.33333333333333337,0.33333333333333337,2,1.0
58,6143,5,0.826401,0.810271,1.0540925533894598,1.0540925533894598,4,1.0
475,6336,5,0.859333,0.707164,1.0,1.0,1,1.0
59,6151,5,0.913019,0.898348,1.0540925533894598,1.0540925533894598,4,1.0
471,4200,5,0.793943,0.762076,0.3333333333333333,0.3333333333333333,1,1.0
324,6142,5,0.826561,0.810421,1.0540925533894598,1.0540925533894598,4,1.0
3207,8904,6,0.804131,0.69947,0.0,0.0,2,1.0
1979,54992,6,0.874125,0.662378,0.0,0.0,1,1.0
1985,1020,6,0.85247,0.6915,0.0,0.0,1,1.0
2173,10341,6,0.907805,0.432304,0.0,0.0,1,1.0
3148,8672,6,0.824791,0.742376,0.0,0.0,1,1.0
3205,8902,6,0.777632,0.750654,0.0,0.0,2,1.0
2751,29034,6,0.820714,0.645695,0.0,0.0,1,1.0
1170,2070,6,0.925059,0.819182,0.0,0.0,1,1.0
1171,2005898,6,0.936067,0.804385,0.0,0.0,1,1.0
2215,1348,6,0.875243,0.288391,0.0,0.0,1,1.0
2583,8141,6,0.898522,0.676436,1.0,1.0,1,1.0
1973,59461,6,0.876109,0.854086,0.3333333333333333,0.3333333333333333,3,1.0
2246,12577,6,0.858593,0.834419,1.0540925533894598,1.0540925533894598,6,1.0
1147,7010,6,0.875332,0.850189,1.0540925533894598,1.0540925533894598,10,1.0
477,6339,6,0.910115,0.900346,1.0540925533894598,1.0540925533894598,6,1.0
1149,7012,6,0.878542,0.324135,1.0,1.0,1,1.0
1778,1057,6,0.91917,0.813006,0.3333333333333333,0.3333333333333333,2,1.0
261,6040,6,0.911999,0.888639,1.0540925533894598,1.0540925533894598,9,1.0
1957,7766,6,0.879563,0.865417,1.0540925533894598,1.0540925533894598,9,1.0
1152,7015,6,0.889679,0.873026,1.0540925533894598,1.0540925533894598,7,1.0
1858,13839199,7,0.874789,0.621858,0.0,0.0,1,1.0
1862,7690,7,0.916304,0.782851,0.0,0.0,2,1.0
3032,1013337,7,0.964288,0.883961,0.0,0.0,1,1.0
226,5975,7,0.939076,0.584265,0.0,0.0,1,1.0
1844,13874733,7,0.880468,0.739561,0.0,0.0,1,1.0
