molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
193,171,4,0.881246,0.440947,0.0,0.0,1,1.0
1734,13872989,4,0.891191,0.577402,1.290995,1.290995,4,1.0
2381,7957,4,0.867187,0.3463,1.699673,1.699673,2,1.0
1733,7569,4,0.902913,0.290204,1.105541,1.105541,1,1.0
258,1004,4,0.885139,0.306519,1.333333,1.333333,1,1.0
1718,7556,4,0.874014,0.177674,1.632993,1.632993,1,1.0
3019,13835336,4,0.804545,0.160491,1.333333,1.333333,1,1.0
1741,7577,4,0.845695,0.375943,0.471404,0.471404,1,1.0
3169,553742,4,0.936181,0.253483,1.527525,1.527525,4,1.0
1723,13854130,4,0.850896,0.367367,1.632993,1.632993,2,1.0
1727,31029,4,0.885818,0.35967,1.632993,1.632993,1,1.0
68,730,5,0.826314,0.261596,0.0,0.0,1,1.0
198,5050,5,0.785409,0.227432,0.0,0.0,1,1.0
470,737,5,0.873847,0.20411,0.0,0.0,1,1.0
2784,29104,5,0.673029,0.25197,0.0,0.0,1,1.0
3100,10205670,5,0.787668,0.344656,0.0,0.0,1,1.0
3217,740,5,0.804322,0.227281,0.0,0.0,1,1.0
3218,55053,5,0.689814,0.417758,0.0,0.0,2,1.0
333,6152,5,0.660483,0.600066,1.490712,1.490712,12,1.0
461,6320,5,0.216577,0.031385,1.20185,1.20185,1,1.0
338,6158,5,0.328275,0.153715,1.556349,1.556349,2,1.0
3373,9284,5,0.535407,0.220275,1.490712,1.490712,7,1.0
2750,60514,5,0.422777,0.211504,1.490712,1.490712,2,1.0
330,6148,5,0.620955,0.513955,1.490712,1.490712,6,1.0
457,6316,5,0.355008,0.058961,1.527525,1.527525,1,1.0
3167,8729,5,0.469212,0.166201,1.406335,1.406335,2,1.0
468,6326,5,0.559935,0.305798,1.527525,1.527525,4,1.0
1710,13837112,5,0.594663,0.180326,1.1547,1.1547,1,1.0
489,3951,6,0.825223,0.455079,0.0,0.0,1,1.0
1775,7611,6,0.858151,0.446066,0.0,0.0,1,1.0
3397,9357,6,0.84184,0.460048,0.0,0.0,1,1.0
481,6341,6,0.806256,0.379115,0.0,0.0,1,1.0
482,96860,6,0.841031,0.184197,0.0,0.0,1,1.0
1777,6267,6,0.880821,0.274866,0.0,0.0,1,1.0
1,592,6,0.841751,0.214434,0.0,0.0,1,1.0
1774,259,6,0.806445,0.40295,0.0,0.0,1,1.0
1778,1057,6,0.839391,0.379694,0.0,0.0,1,1.0
69,5735,6,0.827381,0.435505,0.0,0.0,1,1.0
1166,2005851,6,0.765267,0.265855,1.095445,1.095445,2,1.0
487,6346,6,0.647816,0.353833,1.054093,1.054093,2,1.0
479,6340,6,0.147284,0.06743,1.666667,1.666667,4,1.0
2386,7962,6,0.667681,0.386174,1.556349,1.556349,9,1.0
1770,7606,6,0.17775,0.010264,1.666667,1.666667,1,1.0
1172,7031,6,0.585474,0.088537,1.490712,1.490712,2,1.0
2210,11526,6,0.767121,0.260246,0.333333,0.333333,2,1.0
485,59021,6,0.844041,0.675925,0.471404,0.471404,2,1.0
2262,12591,6,0.619448,0.161183,1.054093,1.054093,1,1.0
2261,12590,6,0.689799,0.201868,1.0,1.0,1,1.0
354,6177,7,0.846713,0.379755,0.0,0.0,1,1.0
3223,428,7,0.846138,0.241857,0.0,0.0,1,1.0
1889,30037,7,0.894568,0.382441,0.0,0.0,1,1.0
352,6175,7,0.86641,0.430053,0.0,0.0,1,1.0
180,5891,7,0.841992,0.330535,0.0,0.0,1,1.0
536,6403,7,0.897998,0.332792,0.0,0.0,1,1.0
3030,844,7,0.879995,0.188566,0.0,0.0,2,1.0
355,6178,7,0.895657,0.40125,0.0,0.0,1,1.0
70,5736,7,0.88926,0.097471,0.0,0.0,1,1.0
356,10800462,7,0.866365,0.430295,0.0,0.0,1,1.0
2263,12597,7,0.891361,0.068701,0.333333,0.333333,2,1.0
3338,61034,7,0.840975,0.128154,1.054093,1.054093,2,1.0
1858,13839199,7,0.770553,0.04896,1.414214,1.414214,1,1.0
2030,7823,7,0.677734,0.120106,1.290995,1.290995,2,1.0
1597,13867413,7,0.856165,0.268914,0.333333,0.333333,1,1.0
2029,13835604,7,0.872044,0.459596,0.881917,0.881917,2,1.0
1886,7703,7,0.579038,0.086574,1.632993,1.632993,1,1.0
226,5975,7,0.779299,0.114517,1.414214,1.414214,1,1.0
1786,7621,7,0.710668,0.301535,1.054093,1.054093,2,1.0
1856,7685,7,0.706901,0.041514,1.414214,1.414214,1,1.0
768,10251740,8,0.927597,0.15915,0.0,0.0,1,1.0
271,6051,8,0.884643,0.082891,0.0,0.0,1,1.0
270,6050,8,0.923752,0.401158,0.0,0.0,1,1.0
3053,362,8,0.903006,0.162432,0.0,0.0,2,1.0
1932,10197150,8,0.923758,0.094682,0.0,0.0,2,1.0
1930,1078,8,0.934983,0.093466,0.0,0.0,2,1.0
3115,128566,8,0.911691,0.455668,0.0,0.0,1,1.0
1931,392248,8,0.920261,0.17475,0.0,0.0,2,1.0
1198,7064,8,0.940084,0.247617,0.0,0.0,1,1.0
39,54922,8,0.911409,0.188221,0.0,0.0,1,1.0
2056,7838,8,0.899955,0.10574,1.105541,1.105541,1,1.0
2685,28986,8,0.869571,0.302458,1.054093,1.054093,2,1.0
1316,54954,8,0.873269,0.075366,1.632993,1.632993,1,1.0
1950,7760,8,0.880967,0.104711,1.054093,1.054093,1,1.0
2698,13838151,8,0.902603,0.225117,0.333333,0.333333,1,1.0
2191,10364,8,0.859546,0.065673,1.452966,1.452966,3,1.0
2718,60507,8,0.869849,0.190344,1.632993,1.632993,2,1.0
2147,21111912,8,0.876541,0.059362,1.414214,1.414214,2,1.0
1116,60135,8,0.898307,0.234839,1.452966,1.452966,9,1.0
1604,7470,8,0.901836,0.290712,1.105541,1.105541,1,1.0
3542,769,9,0.801428,0.301118,0.0,0.0,1,1.0
52,5709,9,0.837062,0.169044,0.0,0.0,1,1.0
2230,389029,9,0.878643,0.171889,0.0,0.0,1,1.0
79,5745,9,0.81766,0.082418,0.0,0.0,2,1.0
140,913,9,0.835347,0.111548,0.0,0.0,1,1.0
3288,945,9,0.88574,0.131042,0.0,0.0,2,1.0
250,6026,9,0.781682,0.191209,0.0,0.0,1,1.0
253,6031,9,0.859815,0.082811,0.0,0.0,1,1.0
3064,8557,9,0.889601,0.206891,0.0,0.0,2,1.0
2151,76512,9,0.817623,0.230549,0.0,0.0,1,1.0
849,6727,9,0.32249,0.01175,1.452966,1.452966,2,1.0
2737,441,9,0.402556,0.043609,1.105541,1.105541,1,1.0
1137,6995,9,0.578309,0.047926,1.0,1.0,1,1.0
3192,13881169,9,0.840851,0.329128,0.57735,0.57735,2,1.0
1088,6952,9,0.653147,0.040807,1.145038,1.145038,2,1.0
1269,7137,9,0.168836,0.014736,1.527525,1.527525,2,1.0
1833,7666,9,0.54726,0.066153,1.452966,1.452966,6,1.0
3305,9153,9,0.758006,0.03813,0.802773,0.802773,1,1.0
2963,8439,9,0.82316,0.335845,0.881917,0.881917,2,1.0
1620,13839123,9,0.654561,0.056065,1.0,1.0,1,1.0
3130,8373,10,0.80892,0.371393,0.0,0.0,1,1.0
3547,9547,10,0.888954,0.259369,0.0,0.0,1,1.0
3238,2006502,10,0.909111,0.053576,0.0,0.0,2,1.0
1302,7190,10,0.832465,0.338893,0.0,0.0,1,1.0
221,5970,10,0.83182,0.275132,0.0,0.0,1,1.0
2498,8070,10,0.877133,0.220231,0.0,0.0,1,1.0
1303,132,10,0.892576,0.088111,0.0,0.0,1,1.0
3499,56147,10,0.876952,0.288683,0.0,0.0,1,1.0
244,331,10,0.898731,0.114045,0.0,0.0,1,1.0
2499,8071,10,0.888321,0.25872,0.0,0.0,1,1.0
2636,28955,10,0.770638,0.413892,0.57735,0.57735,6,1.0
2378,60349,10,0.696207,0.104687,1.105541,1.105541,1,1.0
1697,60301,10,0.228199,0.008756,1.632993,1.632993,2,1.0
2234,62464,10,0.76545,0.105204,1.054093,1.054093,6,1.0
740,6621,10,0.892805,0.264892,0.333333,0.333333,1,1.0
3526,61257,10,0.593961,0.064166,1.452966,1.452966,6,1.0
1211,7074,10,0.726216,0.251704,0.333333,0.333333,1,1.0
241,768,10,0.776587,0.080753,1.0,1.0,1,1.0
895,6779,10,0.457559,0.005964,1.414214,1.414214,2,1.0
430,6286,10,0.780223,0.300696,0.881917,0.881917,4,1.0
3576,89588,11,0.89728,0.304162,0.0,0.0,1,1.0
831,34733,11,0.886668,0.01261,0.0,0.0,1,1.0
21,5606,11,0.897743,0.292129,0.0,0.0,1,1.0
2011,7805,11,0.874236,0.11954,0.0,0.0,2,1.0
212,942,11,0.902077,0.125468,0.0,0.0,1,1.0
3469,2018199,11,0.904265,0.351465,0.0,0.0,1,1.0
2181,11565,11,0.877535,0.336157,0.0,0.0,1,1.0
24,5612,11,0.885396,0.256473,0.0,0.0,1,1.0
3557,61294,11,0.896507,0.296363,0.0,0.0,1,1.0
257,6038,11,0.868526,0.041774,0.0,0.0,1,1.0
1579,60281,11,0.294507,0.008821,1.632993,1.632993,2,1.0
