molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
193,171,4,0.818538,0.318898,0,0,1,1
1733,7569,4,0.817727,0.358309,1.105541597,1.105541597,1,1
2752,29036,4,0.830857,0.512962,1.527525232,1.527525232,6,1
306,6120,4,0.787982,0.66391,1.914854216,1.914854216,6,1
178,2006126,4,0.766617,0.363581,1.145037602,1.145037602,1,1
1726,21106015,4,0.769726,0.178749,1.290994449,1.290994449,1,1
312,13835316,4,0.849601,0.326514,1.490711985,1.490711985,2,1
2696,512,4,0.798772,0.421927,1.105541597,1.105541597,1,1
322,6137,4,0.8763,0.503165,1.598610508,1.598610508,1,1
147,1512,4,0.848724,0.519583,0.988826465,0.988826465,2,1
1729,7564,4,0.885695,0.770078,1.763834207,1.763834207,2,1
68,730,5,0.777973,0.259652,0,0,1,1
198,5050,5,0.671945,0.266685,0,0,1,1
470,737,5,0.783643,0.273062,0,0,1,1
2784,29104,5,0.654679,0.258823,0,0,1,1
3100,10205670,5,0.666619,0.445129,0,0,1,1
3217,740,5,0.712188,0.355275,0,0,1,1
3218,55053,5,0.621487,0.433995,0,0,2,1
2408,7999,5,0.260398,0.169246,1.154700538,1.154700538,1,1
3324,61026,5,0.547915,0.510675,1.490711985,1.490711985,12,1
334,6153,5,0.480308,0.436691,1.490711985,1.490711985,12,1
473,2005980,5,0.612744,0.401431,1.095445115,1.095445115,1,1
3202,773,5,0.444384,0.087667,1.452966315,1.452966315,1,1
1899,7715,5,0.291017,0.091601,1.632993162,1.632993162,2,1
452,6311,5,0.074186,0.004027,1.452966315,1.452966315,1,1
465,3,5,0.313006,0.143143,1.201850425,1.201850425,1,1
3170,8733,5,0.121304,0.042034,1.333333333,1.333333333,1,1
332,6151,5,0.486346,0.442812,1.490711985,1.490711985,12,1
1774,259,6,0.737127,0.427762,0,0,1,1
1775,7611,6,0.765345,0.452855,0,0,1,1
3027,8524,6,0.805104,0.497078,0,0,1,1
3439,10200426,6,0.771222,0.470257,0,0,1,1
1776,234,6,0.798475,0.438735,0,0,1,1
2785,1031,6,0.7466,0.29731,0,0,1,1
490,56121,6,0.708554,0.373908,0,0,1,1
489,3951,6,0.745956,0.410442,0,0,1,1
481,6341,6,0.772627,0.383699,0,0,1,1
69,5735,6,0.666672,0.419782,0,0,1,1
1162,60140,6,0.722145,0.351782,0.333333333,0.333333333,2,1
3149,8492,6,0.69751,0.405865,0.557773351,0.557773351,2,1
2212,62436,6,0.572275,0.330176,1.154700538,1.154700538,4,1
194,59525,6,0.099215,0.01221,1.795054936,1.795054936,4,1
2248,12578,6,0.689826,0.113811,1,1,2,1
2167,4576561,6,0.169664,0.003052,1.598610508,1.598610508,1,1
1156,650,6,0.838893,0.364038,0.333333333,0.333333333,2,1
1169,7030,6,0.784047,0.290104,0.333333333,0.333333333,2,1
2168,61591,6,0.832021,0.739721,0.881917104,0.881917104,4,1
323,2418,6,0.339389,0.200024,1.527525232,1.527525232,4,1
3263,64231,7,0.814806,0.260811,0,0,1,1
3030,844,7,0.800532,0.297075,0,0,2,1
356,10800462,7,0.803759,0.457466,0,0,1,1
180,5891,7,0.709342,0.375586,0,0,1,1
