molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
3168,558928,4,0.889597,0.504147,1.4907119849998598,1.4907119849998598,2,1.0
87,5756,4,0.876492,0.618886,1.9436506316151,1.9436506316151,2,1.0
2381,7957,4,0.894369,0.485281,1.855921454276674,1.855921454276674,2,1.0
2696,512,4,0.493637,0.216991,1.247219128924647,1.247219128924647,1,1.0
147,1512,4,0.853337,0.543253,1.043498389499902,1.043498389499902,2,1.0
320,6134,4,0.825745,0.52116,1.4907119849998598,1.4907119849998598,6,1.0
229,3644,4,0.282986,0.06995,1.5275252316519465,1.5275252316519465,4,1.0
317,6131,4,0.798481,0.455449,1.0,1.0,2,1.0
304,6118,4,0.805177,0.706554,1.7950549357115013,1.7950549357115013,4,1.0
1727,31029,4,0.852157,0.50641,1.7320508075688772,1.7320508075688772,2,1.0
98,2275,5,0.737553,0.330924,0.0,0.0,1,1.0
474,6335,5,0.513868,0.227842,0.0,0.0,1,1.0
475,6336,5,0.619347,0.334701,0.0,0.0,1,1.0
476,6337,5,0.610103,0.259074,0.0,0.0,1,1.0
1896,7713,5,0.040789,0.019274,1.7320508075688772,1.7320508075688772,1,1.0
462,6321,5,0.141937,0.059009,1.2018504251546631,1.2018504251546631,1,1.0
1913,7731,5,0.226543,0.129811,1.0540925533894598,1.0540925533894598,2,1.0
1709,7546,5,0.175987,0.050102,1.2909944487358056,1.2909944487358056,2,1.0
62,6149,5,0.594739,0.556528,1.4529663145135578,1.4529663145135578,12,1.0
3519,61254,5,0.506451,0.266775,1.0,1.0,1,1.0
265,6042,5,0.401168,0.273811,1.4529663145135578,1.4529663145135578,6,1.0
467,857,5,0.631984,0.295283,0.3333333333333333,0.3333333333333333,1,1.0
59,6151,5,0.529507,0.486011,1.4529663145135578,1.4529663145135578,12,1.0
334,6153,5,0.522615,0.479629,1.4529663145135578,1.4529663145135578,12,1.0
33,5439,6,0.689498,0.346428,0.0,0.0,1,1.0
1159,54945,6,0.676099,0.36003,0.0,0.0,1,1.0
1160,7022,6,0.690855,0.339773,0.0,0.0,1,1.0
1161,13872667,6,0.675668,0.360361,0.0,0.0,1,1.0
1162,60140,6,0.672451,0.331423,0.0,0.0,1,1.0
1168,7029,6,0.749685,0.225443,0.0,0.0,1,1.0
1169,7030,6,0.739998,0.272418,0.0,0.0,2,1.0
1783,7616,6,0.6762,0.297855,0.0,0.0,1,1.0
2210,11526,6,0.582357,0.275277,0.0,0.0,2,1.0
3028,8525,6,0.638459,0.222143,0.0,0.0,1,1.0
1979,54992,6,0.300946,0.084007,1.0540925533894598,1.0540925533894598,2,1.0
2930,8400,6,0.351743,0.226206,1.632993161855452,1.632993161855452,4,1.0
2248,12578,6,0.70231,0.234302,1.0,1.0,1,1.0
1164,7026,6,0.264976,0.146959,1.3333333333333333,1.3333333333333333,4,1.0
77,733,6,0.819955,0.378517,0.7453559924999299,0.7453559924999299,2,1.0
