molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
3560,9566,6,0.094255,0.00314,1.527525232,1.527525232,2,1
2264,71441,6,0.008146,0.000272,2.620432534,2.620432534,16,1
2583,8141,6,0.029551,0.002602,1.855921454,1.855921454,4,1
2171,13854808,6,0.027501,0.005322,1.885618083,1.885618083,8,1
1959,21106032,6,0.014697,0.001764,2.160246899,2.160246899,8,1
1988,7791,6,0.005382,0.000274,2.260776661,2.260776661,6,1
3520,630,6,0.058626,0.040734,1.490711985,1.490711985,4,1
1987,7790,6,0.394119,0.246627,1.054092553,1.054092553,6,1
1156,650,6,0.387069,0.138047,1.054092553,1.054092553,4,1
1774,259,6,0.095759,0.045753,1.527525232,1.527525232,2,2
1798,7630,7,0.28731,0.060082,0,0,2,1
1800,7634,7,0.490219,0.057991,0,0,2,1
1801,7635,7,0.519346,0.054673,0,0,2,1
1792,7624,7,0.032089,0.000748,2.357022604,2.357022604,8,1
1850,11787,7,0.258569,0.080328,1.598610508,1.598610508,10,1
3338,61034,7,0.371672,0.264303,1.527525232,1.527525232,12,1
2022,7815,7,0.050677,0.001,2.076321534,2.076321534,2,1
1742,1091,7,0.413103,0.194855,1.490711985,1.490711985,12,1
1788,59444,7,0.106804,0.038333,1.699673171,1.699673171,4,1
1857,7686,7,0.074723,0.006145,2.185812841,2.185812841,2,2
2263,12597,7,0.435723,0.136248,0.471404521,0.471404521,4,1
1886,7703,7,0.043942,0.003058,2.236067977,2.236067977,2,1
50,5708,7,0.07703,0.005559,2.081665999,2.081665999,12,1
1818,7652,8,0.52958,0.111957,0,0,2,1
1340,8305495,8,0.573276,0.240494,1.632993162,1.632993162,24,1
1937,7749,8,0.552005,0.144651,0.333333333,0.333333333,4,1
360,6190,8,0.530464,0.332272,1.855921454,1.855921454,72,1
3115,128566,8,0.521994,0.157061,1.290994449,1.290994449,2,1
2084,60528,8,0.576222,0.150234,1,1,2,1
2713,11091,8,0.562869,0.103124,0.471404521,0.471404521,2,1
1320,7219,8,0.635142,0.425023,1.914854216,1.914854216,30,1
2057,89453,8,0.52619,0.255493,2.081665999,2.081665999,8,1
1116,60135,8,0.53456,0.170127,1.825741858,1.825741858,12,1
1321,7220,8,0.624134,0.3534,1.914854216,1.914854216,56,1
2272,63892,9,0.532336,0.210501,0,0,2,1
2273,63893,9,0.452687,0.043321,0,0,2,1
2703,29003,9,0.292438,0.091722,0,0,2,1
3480,61203,9,0.466414,0.184054,0,0,2,1
3287,834,9,0.076106,0.007507,1.374368542,1.374368542,4,1
853,60016,9,0.014564,0.001894,1.855921454,1.855921454,14,1
2231,11559,9,0.075853,0.001494,1.490711985,1.490711985,2,1
1620,13839123,9,0.035121,0.00365,1.56347192,1.56347192,10,1
2736,29025,9,0.002881,4.00E-06,2.236067977,2.236067977,2,1
2144,9204,9,0.031183,0.000918,1.855921454,1.855921454,14,1
1571,21106019,9,0.070755,0.012334,1.527525232,1.527525232,10,1
2281,13651,9,0.028429,0.002958,1.725623881,1.725623881,4,1
3405,61115,9,0.014446,0.000118,1.855921454,1.855921454,2,1
3305,9153,9,0.119552,0.011686,1.333333333,1.333333333,4,1
2186,21105886,10,0.064914,0.002928,1.598610508,1.598610508,10,1
438,6296,10,0.045232,0.002371,1.56347192,1.56347192,4,1
2041,21106536,10,0.356482,0.04179,0.333333333,0.333333333,4,1
3185,60814,10,0.154285,0.04338,1.247219129,1.247219129,7,1.142857143
1440,60250,10,0.03268,0.001638,1.855921454,1.855921454,18,1
2573,71282,10,0.171675,0.00783,1.201850425,1.201850425,4,1
3496,55063,10,0.163942,0.019591,1.825741858,1.825741858,12,1
29,5621,10,0.030805,0.004282,1.914854216,1.914854216,30,1
2159,61586,10,0.509585,0.195276,0.745355992,0.745355992,4,1
2619,8186,10,0.072444,0.007526,1.490711985,1.490711985,6,1
677,88950,11,0.51408,0.18759,0,0,2,1
678,6552,11,0.56705,0.205786,0,0,2,1
1204,7069,11,0.409478,0.122693,0,0,2,1
1666,7510,11,0.345991,0.112705,0,0,2,1
2181,11565,11,0.260716,0.05738,1.154700538,1.154700538,8,1
3551,61286,11,0.1131,0.00064,1.795054936,1.795054936,2,1
912,60044,11,0.084105,0.011186,1.855921454,1.855921454,28,1
2763,29069,11,0.248261,0.01266,1,1,2,1
1028,56132,11,0.117503,0.000403,1.632993162,1.632993162,4,1
1579,60281,11,0.021926,0.000147,2.185812841,2.185812841,12,1
907,6786,11,0.06943,0.000575,1.763834207,1.763834207,2,1
859,6739,11,0.194595,0.024869,1.56347192,1.56347192,10,1
2301,7868,11,0.354396,0.082503,0.816496581,0.816496581,4,1
3381,13866746,11,0.214063,0.017783,1.795054936,1.795054936,66,1
2437,60370,12,0.617297,0.184665,0,0,2,1
2475,60395,12,0.608881,0.161978,0,0,2,1
2478,8056,12,0.573557,0.116313,0,0,2,1
3267,60894,12,0.607698,0.162306,0,0,2,1
3211,8912,12,0.479934,0.233126,1.154700538,1.154700538,80,1
1273,14220,12,0.546358,0.264593,0.471404521,0.471404521,18,1
2304,7871,12,0.047752,9.30E-05,1.855921454,1.855921454,2,1
2470,8052,12,0.163995,0.000392,1.825741858,1.825741858,2,1
2709,60506,12,0.038134,0.002089,2.134374746,2.134374746,10,1
762,10239179,12,0.514342,0.162477,1,1,72,1
169,5882,12,0.593589,0.012737,0.816496581,0.816496581,2,1
3043,8538,12,0.136115,0.004487,1.290994449,1.290994449,4,1
1414,7310,12,0.28447,0.010671,1.105541597,1.105541597,4,1
834,16736142,12,0.610175,0.001453,0.577350269,0.577350269,2,1
3479,21106178,13,0.626415,0.084785,0,0,2,1
1175,7035,13,0.137939,0.005649,1.56347192,1.56347192,10,1
3511,61244,13,0.295434,0.059559,1.825741858,1.825741858,90,1
2339,7900,13,0.042831,1.60E-05,2.236067977,2.236067977,2,1
664,59913,13,0.38297,0.0299,1.154700538,1.154700538,4,1
2885,8333,13,0.53655,0.10512,0.666666667,0.666666667,6,1
3275,60899,13,0.322415,0.020032,1.490711985,1.490711985,16,1
2727,60510,13,0.359141,0.073333,1.054092553,1.054092553,4,1
1754,33596,13,0.413718,0.075986,0.930949336,0.930949336,2,1
3564,9569,13,0.449742,0.08572,1.154700538,1.154700538,13,1.076923077
13,2157,13,0.551802,0.046067,0.333333333,0.333333333,2,1
65,5731,14,0.533634,0.002788,0,0,2,1
994,6863,14,0.100669,7.60E-05,1.825741858,1.825741858,14,0.857142857
2552,8120,14,0.569586,0.151401,0.577350269,0.577350269,2,1
648,6517,14,0.58331,0.017183,1.054092553,1.054092553,8,1
158,2121,14,0.333432,0.002569,1.452966315,1.452966315,2,1
2879,4133,14,0.268004,0.003851,1.452966315,1.452966315,2,1
978,4593,14,0.298347,0.004378,1.795054936,1.795054936,20,1
1384,7284,14,0.406769,0.001651,1.490711985,1.490711985,2,1
934,60054,14,0.450541,0.049439,1.414213562,1.414213562,16,1
933,6806,14,0.389696,0.01921,1.414213562,1.414213562,12,1
91,54938,14,0.235358,0.009327,1.56347192,1.56347192,2,1
576,6438,15,0.70397,0.147428,0,0,2,1
2432,8023,15,0.69187,0.182077,0,0,2,1
2868,60585,15,0.702199,0.053816,0,0,2,1
3368,61068,15,0.668482,0.06509,0.988826465,0.988826465,8,1
511,3431,15,0.75239,0.026692,0.64978629,0.64978629,2,1
700,6575,15,0.362396,0.000746,1.763834207,1.763834207,2,1
2744,29031,15,0.23109,0.000261,1.885618083,1.885618083,2,1
2975,8462,15,0.496109,0.057518,1.105541597,1.105541597,4,1
1033,6900,15,0.477576,0.003288,1.490711985,1.490711985,8,1
985,6846,15,0.478545,0.02856,1.490711985,1.490711985,18,1
741,4444848,15,0.138891,0.005777,1.885618083,1.885618083,32,1
2550,8118,15,0.542823,0.012535,1.527525232,1.527525232,6,1
1479,88421,15,0.252442,0.012118,1.825741858,1.825741858,12,1
822,21106533,16,0.740209,0.004995,0,0,4,1
2533,8106,16,0.359088,0.00574,1.795054936,1.795054936,18,1
390,6240,16,0.402399,0.02223,1.56347192,1.56347192,26,1
3417,61129,16,0.684093,0.001233,1.452966315,1.452966315,6,1
1477,10447126,16,0.686026,0.02273,1.56347192,1.56347192,9,1.777777778
1388,60232,16,0.553688,0.005051,1.527525232,1.527525232,8,1
2591,60482,16,0.638129,0.005457,1.452966315,1.452966315,2,1
3140,8661,16,0.636332,0.147396,1.390443574,1.390443574,6,1
2110,29153,16,0.729923,0.003012,1.795054936,1.795054936,12,1
1623,4436357,16,0.696783,0.102693,0.333333333,0.333333333,4,1
2829,8254,16,0.708999,0.088678,0.745355992,0.745355992,4,1
