molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
2748,274,3,0.804052,0.659825,0,0,2,1
293,6095,3,0.901485,0.87584,1.105541597,1.105541597,2,1
297,21171184,3,0.58932,0.545394,0.447213595,0.447213595,2,1
291,6093,3,0.839298,0.811732,1.247219129,1.247219129,2,1
296,6108,3,0.588728,0.544719,0.447213595,0.447213595,2,1
298,6110,3,0.878895,0.693662,1,1,1,1
301,6112,3,0.559283,0.559283,1.414213562,1.414213562,6,1
290,2916,3,0.839291,0.811692,1.247219129,1.247219129,2,1
192,278,3,0.730966,0.55038,0.333333333,0.333333333,1,1
294,6097,3,0.56592,0.497236,1.247219129,1.247219129,1,1
300,6111,3,0.560228,0.560228,1.414213562,1.414213562,6,1
86,1143,4,0.981066,0.470442,0,0,1,1
155,173,4,0.971517,0.519958,0,0,1,1
193,171,4,0.935515,0.530708,0,0,1,1
230,175,4,0.981221,0.493632,0,0,1,1
313,6127,4,0.954898,0.433352,0,0,1,1
317,6131,4,0.936423,0.476729,0,0,1,1
3323,9246,4,0.973635,0.585977,0,0,1,1
307,6121,4,0.942625,0.665447,1.105541597,1.105541597,1,1
310,6124,4,0.948979,0.502479,0.730296743,0.730296743,1,1
1717,7555,4,0.937683,0.875192,1.414213562,1.414213562,2,1
305,6119,4,0.96153,0.7655,1.105541597,1.105541597,3,1
1736,21106502,4,0.93156,0.524169,0.333333333,0.333333333,1,1
87,5756,4,0.983312,0.782078,1.452966315,1.452966315,2,1
311,6125,4,0.967161,0.679185,1.105541597,1.105541597,2,1
321,1114,4,0.983594,0.772833,1.452966315,1.452966315,3,1
1741,7577,4,0.932403,0.396918,0.333333333,0.333333333,1,1
315,13836545,4,0.987874,0.777751,1.054092553,1.054092553,2,1
469,6330,5,0.770715,0.594356,0,0,1,1
463,6322,5,0.822132,0.529875,0,0,1,1
471,4200,5,0.681968,0.506456,0,0,1,1
475,6336,5,0.801542,0.428683,0,0,1,1
2784,29104,5,0.791889,0.490528,0,0,1,1
467,857,5,0.805709,0.430479,0,0,1,1
3370,9282,5,0.796954,0.515825,0,0,1,1
68,730,5,0.865566,0.481685,0,0,1,1
2259,12588,5,0.822943,0.571654,0,0,1,1
462,6321,5,0.718053,0.476828,0,0,1,1
473,2005980,5,0.675993,0.521177,0.447213595,0.447213595,1,1
59,6151,5,0.7994,0.69687,1.054092553,1.054092553,4,1
3486,9484,5,0.730381,0.674062,1.054092553,1.054092553,3,1
233,5978,5,0.932735,0.223067,0.745355992,0.745355992,1,1
335,6154,5,0.770528,0.697797,1.054092553,1.054092553,4,1
452,6311,5,0.247665,0.04617,1.054092553,1.054092553,1,1
1900,7716,5,0.280476,0.20277,1.414213562,1.414213562,5,1
1908,7726,5,0.826638,0.681518,0.816496581,0.816496581,1,1
96,13835224,5,0.927006,0.586139,0.577350269,0.577350269,1,1
449,6308,5,0.273791,0.171961,1.290994449,1.290994449,2,1
2583,8141,6,0.843498,0.613673,0,0,1,1
1774,259,6,0.798672,0.483205,0,0,1,1
1979,54992,6,0.877831,0.565291,0,0,1,1
1169,7030,6,0.934468,0.454258,0,0,1,1
1776,234,6,0.846868,0.473525,0,0,1,1
1162,60140,6,0.903811,0.348929,0,0,1,1
2584,8142,6,0.906637,0.605596,0,0,1,1
2136,64234,6,0.736472,0.448269,0,0,1,1
3375,9287,6,0.911033,0.58285,0,0,2,1
1159,54945,6,0.837226,0.354675,0,0,1,1
1165,7027,6,0.889081,0.790685,0.557773351,0.557773351,1,1
262,236,6,0.764024,0.564221,1.105541597,1.105541597,6,1
1961,7769,6,0.365863,0.283908,1.414213562,1.414213562,7,1
483,6342,6,0.724427,0.519835,1.105541597,1.105541597,4,1
2384,21106133,6,0.816771,0.676161,0.471404521,0.471404521,1,1
1149,7012,6,0.836793,0.547569,0.333333333,0.333333333,1,1
1769,7605,6,0.334102,0.103085,1.247219129,1.247219129,2,1
1957,7766,6,0.397509,0.049668,1.247219129,1.247219129,1,1
486,6345,6,0.889529,0.329867,1,1,2,1
1151,20788,6,0.805946,0.708108,0.816496581,0.816496581,2,1
3030,844,7,0.909569,0.6711,0,0,2,1
355,6178,7,0.868615,0.430619,0,0,1,1
356,10800462,7,0.897988,0.495359,0,0,1,1
1848,7679,7,0.844211,0.489297,0,0,1,1
1793,7625,7,0.911841,0.658645,0,0,2,1
3341,61035,7,0.917322,0.614207,0,0,1,1
352,6175,7,0.898394,0.495883,0,0,1,1
1598,7462,7,0.905308,0.393056,0,0,1,1
1796,7628,7,0.937635,0.281723,0,0,1,1
2702,10955,7,0.92774,0.785818,0,0,2,1
3340,9256,7,0.944187,0.50865,1.054092553,1.054092553,3,1
2034,7827,7,0.82286,0.54719,0.869226987,0.869226987,2,1
1791,34412,7,0.806021,0.503582,0.577350269,0.577350269,1,1
2028,7821,7,0.820027,0.588614,0.816496581,0.816496581,1,1
2597,8158,7,0.739996,0.586458,1.247219129,1.247219129,3,1
2019,7812,7,0.802092,0.633419,0.816496581,0.816496581,1,1
2023,60336,7,0.585311,0.347171,1.290994449,1.290994449,2,1
1845,7676,7,0.89828,0.447186,1.054092553,1.054092553,3,1
174,5887,7,0.964925,0.762758,0.745355992,0.745355992,1,1
3332,55056,7,0.925954,0.646078,1.054092553,1.054092553,3,1
1607,7473,8,0.975461,0.414852,0,0,1,1
270,6050,8,0.966982,0.463056,0,0,1,1
2161,10329,8,0.966178,0.617903,0,0,1,1
541,6409,8,0.937901,0.436975,0,0,1,1
1955,13864773,8,0.947461,0.285884,0,0,1,1
1936,7748,8,0.925143,0.641224,0,0,2,1
3523,9509,8,0.975253,0.428973,0,0,1,1
538,200,8,0.993864,0.546969,0,0,1,1
3461,91859,8,0.967337,0.4016,0,0,1,1
1818,7652,8,0.956208,0.464882,0,0,2,1
3344,9258,8,0.970959,0.835289,1.054092553,1.054092553,8,1
1343,7241,8,0.954208,0.619107,1.054092553,1.054092553,7,1
1328,21106029,8,0.938357,0.656411,0.333333333,0.333333333,1,1
1342,7240,8,0.98168,0.607404,1.054092553,1.054092553,4,1
2160,10328,8,0.953547,0.72383,0.471404521,0.471404521,1,1
2394,7981,8,0.979593,0.560155,0.745355992,0.745355992,2,1
1677,7521,8,0.969983,0.295568,1.054092553,1.054092553,4,1
1682,13869339,8,0.988523,0.5543,1.054092553,1.054092553,5,1
1345,54955,8,0.991187,0.451358,0.333333333,0.333333333,1,1
1952,7761,8,0.967941,0.423812,0.333333333,0.333333333,1,1
3525,61256,9,0.883978,0.664605,0,0,1,1
2276,13645,9,0.805644,0.627221,0,0,1,1
1699,215929,9,0.670193,0.507173,0,0,1,1
140,913,9,0.893195,0.357505,0,0,1,1
2178,826,9,0.841475,0.425811,0,0,1,1
209,1103,9,0.786487,0.639347,0,0,2,1
1592,7456,9,0.817461,0.394741,0,0,1,1
1263,7132,9,0.880708,0.722186,0,0,1,1
1701,7536,9,0.797937,0.449242,0,0,1,1
2273,63893,9,0.883981,0.457625,0,0,2,1
1134,13869655,9,0.738106,0.213746,1,1,2,1
3558,61297,9,0.635992,0.10916,1,1,2,1
1268,911,9,0.853644,0.676974,0.471404521,0.471404521,1,1
2076,2291,9,0.905531,0.726291,0.745355992,0.745355992,2,1
2572,776,9,0.697292,0.208934,1,1,2,1
3136,8657,9,0.889215,0.34321,0.333333333,0.333333333,1,1
3495,9488,9,0.942567,0.718436,0.745355992,0.745355992,2,1
749,6633,9,0.849159,0.366677,0.471404521,0.471404521,1,1
1832,21106174,9,0.30966,0.0535,1,1,1,1
1133,6991,9,0.580176,0.116294,1,1,2,1
1140,6998,10,0.883792,0.584535,0,0,2,1
1303,132,10,0.931664,0.65336,0,0,1,1
2943,8409,10,0.929499,0.586364,0,0,1,1
81,30572,10,0.928626,0.725501,0,0,2,1
1839,7671,10,0.844892,0.429455,0,0,1,1
2499,8071,10,0.938998,0.74524,0,0,1,1
1013,21111785,10,0.880393,0.298646,0,0,1,1
1010,6881,10,0.856923,0.733953,0,0,1,1
1299,13835126,10,0.843308,0.686181,0,0,1,1
2656,28969,10,0.895567,0.401564,0,0,1,1
1272,7143,10,0.855886,0.675847,0.471404521,0.471404521,1,1
3514,9499,10,0.808627,0.695231,0.333333333,0.333333333,2,1
2317,7879,10,0.930747,0.764327,0.745355992,0.745355992,4,1
1583,59432,10,0.599172,0.156908,1.054092553,1.054092553,4,1
1221,7094,10,0.742703,0.175372,1.054092553,1.054092553,3,1
