molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
298,6110,3,0.822455,0.657221,0,0,1,1
154,5837,3,0.976388,0.533016,0.333333,0.333333,1,1
297,21171184,3,0.897559,0.763563,1,1,2,1
303,10606585,3,0.926217,0.877074,1.054093,1.054093,4,1
290,2916,3,0.933341,0.848003,1.054093,1.054093,2,1
2380,7956,3,0.939879,0.698099,1.054093,1.054093,2,1
2748,274,3,0.893418,0.758339,1,1,2,1
293,6095,3,0.865125,0.802583,1.054093,1.054093,4,1
2749,654,3,0.873467,0.73904,0.333333,0.333333,2,1
192,278,3,0.930054,0.445954,1,1,1,1
296,6108,3,0.897807,0.763786,1,1,2,1
178,2006126,4,0.982056,0.73897,0,0,1,1
1734,13872989,4,0.979685,0.337455,1,1,2,1
321,1114,4,0.976848,0.806382,0.333333,0.333333,3,1
1718,7556,4,0.994891,0.41716,1,1,2,1
2697,28994,4,0.996616,0.728462,0.333333,0.333333,2,1
3168,558928,4,0.984549,0.231854,1,1,2,1
316,6130,4,0.983449,0.84389,1.054093,1.054093,3,1
231,5977,4,0.983334,0.843702,1.054093,1.054093,3,1
310,6124,4,0.978108,0.773384,1.054093,1.054093,5,1
1724,13836674,4,0.97964,0.33733,1,1,2,1
193,171,4,0.980958,0.43278,1,1,1,1
97,5008,5,0.906164,0.404651,0,0,1,1
1913,7731,5,0.889979,0.370521,0,0,1,1
2750,60514,5,0.952691,0.368803,0,0,1,1
2783,60524,5,0.911668,0.536083,0,0,1,1
3099,3596,5,0.92021,0.722464,0,0,1,1
3200,1019,5,0.934608,0.334109,0,0,1,1
3201,8897,5,0.950899,0.62501,0,0,1,1
3202,773,5,0.932382,0.243801,0,0,1,1
3203,8899,5,0.897892,0.48248,0,0,1,1
3204,8900,5,0.954856,0.364285,0,0,2,1
1920,7738,5,0.878873,0.353291,1,1,4,1
330,6148,5,0.798525,0.623902,1.054093,1.054093,5,1
98,2275,5,0.847429,0.114782,1,1,1,1
2407,21106125,5,0.82863,0.288419,1,1,1,1
467,857,5,0.83416,0.405415,1,1,2,1
1896,7713,5,0.752131,0.166199,1,1,2,1
1893,7710,5,0.866706,0.564823,1.054093,1.054093,6,1
233,5978,5,0.761277,0.555559,1.054093,1.054093,3,1
3100,10205670,5,0.808311,0.293019,1,1,1,1
470,737,5,0.875951,0.194512,1,1,1,1
1170,2070,6,0.966684,0.501498,0,0,1,1
2173,10341,6,0.957942,0.296082,0,0,1,1
167,1577,6,0.953609,0.643549,0,0,2,1
1171,2005898,6,0.946215,0.513946,0,0,1,1
2751,29034,6,0.93236,0.396136,0,0,1,1
3148,8672,6,0.943891,0.564729,0,0,1,1
3205,8902,6,0.9642,0.410914,0,0,2,1
1985,1020,6,0.965103,0.619129,0,0,1,1
1979,54992,6,0.957194,0.499508,0,0,1,1
3206,8903,6,0.934173,0.431723,0,0,2,1
1990,13837537,6,0.951685,0.715523,0.333333,0.333333,2,1
3397,9357,6,0.948372,0.715832,0.333333,0.333333,1,1
1970,7777,6,0.939152,0.61449,0.333333,0.333333,2,1
341,6161,6,0.949183,0.670939,1.054093,1.054093,6,1
2171,13854808,6,0.882376,0.547686,1.054093,1.054093,6,1
1989,60330,6,0.939131,0.668057,0.333333,0.333333,6,1
1150,7013,6,0.88721,0.621466,1.054093,1.054093,7,1
1168,7029,6,0.887393,0.096385,1,1,1,1
1162,60140,6,0.875295,0.098373,1,1,1,1
484,21106100,6,0.913946,0.168509,1,1,1,1
3032,1013337,7,0.963999,0.547751,0,0,1,1
226,5975,7,0.978207,0.338439,0,0,1,1
1844,13874733,7,0.979864,0.374566,0,0,1,1
3031,8527,7,0.970718,0.176541,0,0,1,1
1858,13839199,7,0.976172,0.344829,0,0,1,1
1860,7688,7,0.971166,0.445554,0,0,2,1
1853,7683,7,0.971034,0.181872,0,0,1,1
3049,8542,7,0.962127,0.609599,0,0,1,1
3224,8953,7,0.967647,0.58482,0,0,1,1
1856,7685,7,0.963183,0.578689,0,0,1,1
1601,7465,7,0.944312,0.109859,1,1,1,1
1887,7704,7,0.959569,0.620459,0.333333,0.333333,2,1
3337,61033,7,0.961992,0.105307,1,1,1,1
399,21106033,7,0.905324,0.544756,1.054093,1.054093,8,1
1599,7463,7,0.946337,0.108926,1,1,1,1
1800,7634,7,0.935429,0.095007,1,1,2,1
1845,7676,7,0.941535,0.321073,1,1,6,1
1846,7677,7,0.975574,0.365445,0.333333,0.333333,1,1
1889,30037,7,0.972867,0.576567,0.333333,0.333333,3,1
3232,597,7,0.972319,0.444391,0.333333,0.333333,1,1
1326,7225,8,0.988885,0.085419,0,0,1,1
149,568,8,0.989487,0.445993,0,0,2,1
1935,60324,8,0.990623,0.127483,0,0,1,1
2192,21105905,8,0.993346,0.541519,0,0,1,1
1332,78,8,0.987405,0.185842,0,0,1,1
1337,7236,8,0.992374,0.484742,0,0,1,1
1343,7241,8,0.98389,0.153303,0,0,1,1
2116,2006396,8,0.979699,0.333371,0,0,2,1
1322,7221,8,0.989028,0.261339,0,0,1,1
539,59832,8,0.980992,0.105833,0,0,1,1
366,21106164,8,0.991655,0.718665,1.054093,1.054093,9,1
1928,7744,8,0.973537,0.185422,1,1,2,1
1818,7652,8,0.972434,0.194852,1,1,2,1
3194,8882,8,0.988032,0.852723,0.333333,0.333333,6,1
1813,4878,8,0.977464,0.261112,1,1,6,1
1334,7233,8,0.99793,0.575071,0.333333,0.333333,2,1
2756,29041,8,0.98989,0.785382,1.054093,1.054093,8,1
2685,28986,8,0.986535,0.125328,1,1,1,1
1678,13875160,8,0.975283,0.27143,1,1,6,1
1105,6967,8,0.989836,0.253055,1,1,6,1
1833,7666,9,0.961997,0.517226,0,0,3,1
1834,7667,9,0.944727,0.433123,0,0,3,1
1088,6952,9,0.916369,0.185785,0,0,1,1
3190,60826,9,0.955216,0.38116,0,0,2,1
1832,21106174,9,0.920522,0.348453,0,0,1,1
2986,8486,9,0.921732,0.159613,0,0,1,1
1836,7668,9,0.952638,0.484916,0,0,3,1
3308,13856009,9,0.895854,0.197863,0,0,1,1
52,5709,9,0.905085,0.182538,0,0,1,1
1573,21105900,9,0.923697,0.137885,0,0,1,1
852,21106014,9,0.762832,0.211327,1,1,7,1
2704,21106173,9,0.770065,0.364737,1.054093,1.054093,12,1
2985,60657,9,0.919231,0.174207,0.333333,0.333333,1,1
152,548,9,0.922811,0.266148,0.333333,0.333333,1,1
744,13840647,9,0.930639,0.165217,0.333333,0.333333,1,1
1700,7535,9,0.742929,0.332589,1.054093,1.054093,13,1
2071,7852,9,0.711744,0.27909,1.054093,1.054093,15,1
2674,28981,9,0.751428,0.05127,1,1,1,1
227,5976,9,0.951528,0.617684,0.333333,0.333333,4,1
1992,723,9,0.748839,0.090565,1,1,2,1
2918,8382,10,0.958088,0.168327,0,0,1,1
3473,9451,10,0.947809,0.036371,0,0,1,1
272,59533,10,0.919676,0.172813,0,0,1,1
2574,8138,10,0.925677,0.401326,0,0,1,1
276,185,10,0.959655,0.123134,0,0,3,1
3184,60812,10,0.927031,0.435298,0,0,2,1
2286,63911,10,0.962171,0.285509,0,0,2,1
3128,608157,10,0.920418,0.176106,0,0,1,1
1013,21111785,10,0.941524,0.067747,0,0,1,1
896,6780,10,0.935545,0.378356,0,0,1,1
2253,88549,10,0.811477,0.367905,1.054093,1.054093,16,1
1292,7179,10,0.756521,0.302513,1.054093,1.054093,20,1
1583,59432,10,0.764846,0.167755,1,1,10,1
3514,9499,10,0.818531,0.567396,1.054093,1.054093,12,1
894,906,10,0.782516,0.237492,1,1,10,1
2318,13835895,10,0.787168,0.312402,1.054093,1.054093,12,1
