molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
298,6110,3,0.765757,0.589946,0,0,1,1
154,5837,3,0.910881,0.664877,0.333333,0.333333,1,1
297,21171184,3,0.882014,0.745047,1,1,2,1
303,10606585,3,0.916099,0.892894,1.054093,1.054093,4,1
290,2916,3,0.869772,0.750877,1.054093,1.054093,2,1
2380,7956,3,0.680748,0.56882,1.054093,1.054093,2,1
2748,274,3,0.825222,0.690529,1,1,2,1
293,6095,3,0.90297,0.887301,1.054093,1.054093,4,1
2749,654,3,0.653041,0.590229,0.333333,0.333333,2,1
192,278,3,0.897325,0.429716,1,1,1,1
296,6108,3,0.881749,0.744567,1,1,2,1
178,2006126,4,0.986233,0.669123,0,0,1,1
1734,13872989,4,0.971815,0.474596,1,1,2,1
321,1114,4,0.975338,0.714191,0.333333,0.333333,3,1
1718,7556,4,0.975486,0.552136,1,1,2,1
2697,28994,4,0.956392,0.643881,0.333333,0.333333,2,1
3168,558928,4,0.936319,0.548933,1,1,2,1
316,6130,4,0.985399,0.782589,1.054093,1.054093,3,1
231,5977,4,0.98532,0.782445,1.054093,1.054093,3,1
310,6124,4,0.957227,0.904504,1.054093,1.054093,5,1
1724,13836674,4,0.9714,0.479874,1,1,2,1
193,171,4,0.958784,0.299708,1,1,1,1
97,5008,5,0.857922,0.57325,0,0,1,1
1913,7731,5,0.781884,0.350379,0,0,1,1
2750,60514,5,0.898991,0.491589,0,0,1,1
2783,60524,5,0.7933,0.673381,0,0,1,1
3099,3596,5,0.828964,0.654295,0,0,1,1
3200,1019,5,0.833417,0.563929,0,0,1,1
3201,8897,5,0.857759,0.698424,0,0,1,1
3202,773,5,0.838388,0.341256,0,0,1,1
3203,8899,5,0.787292,0.621666,0,0,1,1
3204,8900,5,0.860251,0.466009,0,0,2,1
1920,7738,5,0.826451,0.44831,1,1,4,1
330,6148,5,0.79986,0.713572,1.054093,1.054093,5,1
98,2275,5,0.852678,0.158398,1,1,1,1
2407,21106125,5,0.771668,0.228069,1,1,1,1
467,857,5,0.80107,0.385467,1,1,2,1
1896,7713,5,0.767149,0.179581,1,1,2,1
1893,7710,5,0.772535,0.659405,1.054093,1.054093,6,1
233,5978,5,0.718413,0.60464,1.054093,1.054093,3,1
3100,10205670,5,0.807284,0.31548,1,1,1,1
470,737,5,0.779294,0.282691,1,1,1,1
1170,2070,6,0.921713,0.444085,0,0,1,1
2173,10341,6,0.887584,0.378463,0,0,1,1
167,1577,6,0.933912,0.692832,0,0,2,1
1171,2005898,6,0.873522,0.505492,0,0,1,1
2751,29034,6,0.831263,0.457988,0,0,1,1
3148,8672,6,0.831102,0.653293,0,0,1,1
3205,8902,6,0.889994,0.747352,0,0,2,1
1985,1020,6,0.899139,0.695811,0,0,1,1
1979,54992,6,0.915035,0.783794,0,0,1,1
3206,8903,6,0.906813,0.355606,0,0,2,1
1990,13837537,6,0.870983,0.75681,0.333333,0.333333,2,1
3397,9357,6,0.922621,0.751146,0.333333,0.333333,1,1
1970,7777,6,0.909812,0.616904,0.333333,0.333333,2,1
341,6161,6,0.801999,0.641928,1.054093,1.054093,6,1
2171,13854808,6,0.806966,0.709517,1.054093,1.054093,6,1
1989,60330,6,0.78787,0.745051,0.333333,0.333333,6,1
1150,7013,6,0.870841,0.760864,1.054093,1.054093,7,1
1168,7029,6,0.869439,0.244634,1,1,1,1
1162,60140,6,0.832589,0.047196,1,1,1,1
484,21106100,6,0.908406,0.342355,1,1,1,1
3032,1013337,7,0.941374,0.63381,0,0,1,1
226,5975,7,0.971505,0.449676,0,0,1,1
1844,13874733,7,0.929494,0.555476,0,0,1,1
3031,8527,7,0.957837,0.287836,0,0,1,1
1858,13839199,7,0.931286,0.610582,0,0,1,1
1860,7688,7,0.941784,0.500228,0,0,2,1
1853,7683,7,0.910471,0.636884,0,0,1,1
3049,8542,7,0.931892,0.621205,0,0,1,1
3224,8953,7,0.958565,0.732128,0,0,1,1
1856,7685,7,0.964729,0.633174,0,0,1,1
1601,7465,7,0.887023,0.136287,1,1,1,1
1887,7704,7,0.933324,0.693974,0.333333,0.333333,2,1
3337,61033,7,0.95889,0.129152,1,1,1,1
399,21106033,7,0.912117,0.685474,1.054093,1.054093,8,1
1599,7463,7,0.924223,0.154502,1,1,1,1
1800,7634,7,0.943812,0.209067,1,1,2,1
1845,7676,7,0.924119,0.492798,1,1,6,1
1846,7677,7,0.922991,0.724022,0.333333,0.333333,1,1
1889,30037,7,0.949564,0.588027,0.333333,0.333333,3,1
3232,597,7,0.895699,0.661798,0.333333,0.333333,1,1
1326,7225,8,0.961402,0.390244,0,0,1,1
149,568,8,0.983702,0.731811,0,0,2,1
1935,60324,8,0.9787,0.267275,0,0,1,1
2192,21105905,8,0.966248,0.552967,0,0,1,1
1332,78,8,0.968295,0.324622,0,0,1,1
1337,7236,8,0.985957,0.800372,0,0,1,1
1343,7241,8,0.961745,0.312345,0,0,1,1
2116,2006396,8,0.980512,0.549345,0,0,2,1
1322,7221,8,0.942391,0.482578,0,0,1,1
539,59832,8,0.970123,0.193901,0,0,1,1
366,21106164,8,0.985455,0.913488,1.054093,1.054093,9,1
1928,7744,8,0.96396,0.32466,1,1,2,1
1818,7652,8,0.97742,0.284194,1,1,2,1
3194,8882,8,0.965892,0.891763,0.333333,0.333333,6,1
1813,4878,8,0.971649,0.427294,1,1,6,1
1334,7233,8,0.969768,0.722284,0.333333,0.333333,2,1
2756,29041,8,0.98174,0.834156,1.054093,1.054093,8,1
2685,28986,8,0.96654,0.175263,1,1,1,1
1678,13875160,8,0.966104,0.468181,1,1,6,1
1105,6967,8,0.957488,0.45925,1,1,6,1
1833,7666,9,0.931539,0.573142,0,0,3,1
1834,7667,9,0.904418,0.51061,0,0,3,1
1088,6952,9,0.860152,0.518359,0,0,1,1
3190,60826,9,0.908989,0.744141,0,0,2,1
1832,21106174,9,0.935445,0.679743,0,0,1,1
2986,8486,9,0.925297,0.333028,0,0,1,1
1836,7668,9,0.910205,0.569875,0,0,3,1
3308,13856009,9,0.857274,0.495407,0,0,1,1
52,5709,9,0.85913,0.429943,0,0,1,1
1573,21105900,9,0.890739,0.439781,0,0,1,1
852,21106014,9,0.742865,0.44455,1,1,7,1
2704,21106173,9,0.676893,0.539345,1.054093,1.054093,12,1
2985,60657,9,0.855414,0.520812,0.333333,0.333333,1,1
152,548,9,0.85863,0.637456,0.333333,0.333333,1,1
744,13840647,9,0.862495,0.491157,0.333333,0.333333,1,1
1700,7535,9,0.710692,0.543474,1.054093,1.054093,13,1
2071,7852,9,0.698803,0.50629,1.054093,1.054093,15,1
2674,28981,9,0.703411,0.082972,1,1,1,1
227,5976,9,0.908921,0.797131,0.333333,0.333333,4,1
1992,723,9,0.710196,0.149041,1,1,2,1
2918,8382,10,0.905415,0.435187,0,0,1,1
3473,9451,10,0.871731,0.176452,0,0,1,1
272,59533,10,0.800514,0.227579,0,0,1,1
2574,8138,10,0.913236,0.678749,0,0,1,1
276,185,10,0.94414,0.348553,0,0,3,1
3184,60812,10,0.885237,0.69252,0,0,2,1
2286,63911,10,0.936329,0.441963,0,0,2,1
3128,608157,10,0.834281,0.50402,0,0,1,1
1013,21111785,10,0.883805,0.43552,0,0,1,1
896,6780,10,0.889622,0.633543,0,0,1,1
2253,88549,10,0.698111,0.565796,1.054093,1.054093,16,1
1292,7179,10,0.749443,0.54822,1.054093,1.054093,20,1
1583,59432,10,0.761066,0.312357,1,1,10,1
3514,9499,10,0.797557,0.710597,1.054093,1.054093,12,1
894,906,10,0.778433,0.473876,1,1,10,1
2318,13835895,10,0.752231,0.515653,1.054093,1.054093,12,1
3440,82578,10,0.760456,0.099782,1,1,2,1
805,6677,10,0.719761,0.282785,1,1,6,1
82,5747,10,0.923394,0.655059,0.333333,0.333333,2,1
1621,7484,10,0.729911,0.034595,1,1,1,1
913,6792,11,0.895631,0.606835,0,0,1,1
132,5816,11,0.938033,0.672339,0,0,1,1
3118,1847,11,0.884498,0.51381,0,0,1,1
1093,6956,11,0.923655,0.059662,0,0,1,1
3313,64237,11,0.907521,0.431852,0,0,1,1
739,4911386,11,0.89046,0.080184,0,0,1,1
908,6787,11,0.888068,0.658529,0,0,1,1
2195,10378,11,0.882416,0.74106,0,0,1,1
1197,199,11,0.917465,0.417543,0,0,3,1
914,13870160,11,0.884785,0.470146,0,0,1,1
2872,8316,11,0.771544,0.194645,1,1,6,1
432,6287,11,0.93351,0.822541,0.802773,0.802773,6,1
1205,7070,11,0.930291,0.877404,0.333333,0.333333,6,1
2569,30479,11,0.910394,0.798575,0.333333,0.333333,3,1
1290,7175,11,0.770237,0.405286,1,1,7,1
2322,7884,11,0.735278,0.02667,1,1,1,1
1610,13863636,11,0.738906,0.063673,1,1,2,1
1374,7276,11,0.773952,0.341081,1,1,9,1
2553,8121,11,0.947429,0.722303,0.333333,0.333333,2,1
842,149356,11,0.764116,0.064245,1,1,2,1
202,1025,12,0.886294,0.290946,0,0,1,1
1315,7212,12,0.9037,0.434744,0,0,1,1
2299,63953,12,0.884961,0.101482,0,0,1,1
2297,13679,12,0.901064,0.750645,0,0,1,1
2406,2002,12,0.910896,0.041313,0,0,1,1
156,2973,12,0.951974,0.552768,0,0,1,1
2513,4911397,12,0.955208,0.74467,0,0,1,1
728,6604,12,0.866981,0.430588,0,0,1,1
1547,54970,12,0.956424,0.651219,0,0,2,1
279,6082,12,0.932687,0.27598,0,0,1,1
2140,21168727,12,0.817596,0.392993,1,1,6,1
